Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000157,-0.236013,-9.794812,0.212566,0.0014026488,0.0080293659,-0.0029181054
0.001024,-0.236013,-9.794812,0.212566,0.0014026488,0.0080293659,-0.0029181054
0.002074,-0.233611,-9.797206,0.212566,0.0003384236,0.0090935911,-0.0029181054
0.003124,-0.20479,-9.780446,0.219771,0.0003384236,0.0112220414,-0.0029181054
0.004142,-0.209594,-9.78284,0.219771,-0.0007258016,0.0101578162,-0.0029181054
0.005191,-0.211995,-9.790023,0.222173,0.0003384236,0.0090935911,-0.0018538802
0.006241,-0.211995,-9.785234,0.214967,0.0003384236,0.0101578162,-0.0018538802
0.007293,-0.211995,-9.773263,0.20536,0.0003384236,0.0101578162,-0.0018538802
0.008341,-0.211995,-9.778051,0.212566,0.0003384236,0.0101578162,-0.0029181054
0.009358,-0.211995,-9.790023,0.217369,0.0014026488,0.0090935911,-0.0029181054
0.010408,-0.207192,-9.785234,0.217369,0.0014026488,0.0080293659,-0.0029181054
0.011458,-0.209594,-9.78284,0.212566,0.0014026488,0.0080293659,-0.0018538802
0.012507,-0.207192,-9.794812,0.207762,-0.0007258016,0.0090935911,-0.0007896551
0.014575,-0.219201,-9.806783,0.212566,0.0003384236,0.0112220414,-0.0007896551
0.013525,-0.207192,-9.801995,0.210164,-0.0007258016,0.0090935911,-0.0007896551
0.015624,-0.224004,-9.801995,0.212566,0.0014026488,0.0122862666,-0.0007896551
0.016674,-0.221603,-9.792417,0.210164,0.0003384236,0.0101578162,-0.0007896551
0.017692,-0.226406,-9.780446,0.202958,0.0014026488,0.0101578162,-0.0018538802
0.018742,-0.228808,-9.78284,0.207762,0.0014026488,0.0101578162,-0.0018538802
0.019793,-0.219201,-9.787629,0.219771,0.0014026488,0.0101578162,-0.0018538802
0.020841,-0.211995,-9.794812,0.217369,0.0014026488,0.0090935911,-0.0029181054
0.021858,-0.209594,-9.794812,0.20536,0.0014026488,0.0101578162,-0.0018538802
0.022909,-0.211995,-9.787629,0.202958,0.0003384236,0.0101578162,-0.0018538802
0.023958,-0.216799,-9.778051,0.212566,0.0003384236,0.0112220414,-0.0029181054
0.025008,-0.219201,-9.778051,0.224574,0.0014026488,0.0112220414,-0.0029181054
0.026058,-0.219201,-9.78284,0.222173,0.0003384236,0.0101578162,-0.0039823305
0.027076,-0.211995,-9.790023,0.210164,0.0003384236,0.0101578162,-0.0039823305
0.028125,-0.211995,-9.787629,0.202958,0.0014026488,0.0101578162,-0.0018538802
0.029175,-0.211995,-9.794812,0.212566,0.0003384236,0.0090935911,-0.0029181054
0.030225,-0.216799,-9.794812,0.20536,0.0003384236,0.0101578162,-0.0029181054
0.031242,-0.216799,-9.785234,0.20536,0.0003384236,0.0112220414,-0.0029181054
0.032295,-0.211995,-9.792417,0.207762,-0.0007258016,0.0112220414,-0.0029181054
0.033342,-0.224004,-9.804389,0.214967,0.0003384236,0.0101578162,-0.0029181054
0.034392,-0.23121,-9.801995,0.229378,0.0014026488,0.0101578162,-0.0029181054
0.035409,-0.228808,-9.790023,0.224574,0.0014026488,0.0101578162,-0.0018538802
