Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000162,-0.221603,-9.785234,0.219771,-0.0166891789,-0.0047413359,0.0013387952
0.001268,-0.221603,-9.785234,0.219771,-0.0145607286,-0.0047413359,0.0024030204
0.002315,-0.221603,-9.778051,0.219771,-0.0145607286,-0.0047413359,0.0024030204
0.003333,-0.221603,-9.778051,0.219771,-0.0156249537,-0.0036771108,0.0034672456
0.004385,-0.219201,-9.780446,0.217369,-0.0166891789,-0.0047413359,0.0034672456
0.005432,-0.216799,-9.78284,0.207762,-0.0166891789,-0.0058055611,0.0024030204
0.006481,-0.221603,-9.78284,0.217369,-0.0156249537,-0.0058055611,0.0024030204
0.0075,-0.224004,-9.785234,0.226976,-0.0145607286,-0.0068697862,0.0024030204
0.008549,-0.224004,-9.785234,0.219771,-0.0145607286,-0.0079340114,0.0013387952
0.009599,-0.211995,-9.792417,0.229378,-0.0134965034,-0.0058055611,0.0013387952
0.010648,-0.209594,-9.801995,0.224574,-0.0134965034,-0.0047413359,0.0013387952
0.011698,-0.219201,-9.792417,0.226976,-0.0156249537,-0.0047413359,0.0013387952
0.012715,-0.219201,-9.780446,0.236583,-0.0156249537,-0.0047413359,0.0013387952
0.013768,-0.219201,-9.785234,0.23178,-0.0145607286,-0.0058055611,0.0024030204
0.014815,-0.224004,-9.794812,0.219771,-0.0145607286,-0.0068697862,0.0034672456
0.015864,-0.228808,-9.794812,0.212566,-0.0145607286,-0.0068697862,0.0024030204
0.016884,-0.219201,-9.787629,0.217369,-0.0145607286,-0.0068697862,0.0013387952
0.017932,-0.202388,-9.790023,0.219771,-0.0134965034,-0.0079340114,0.0013387952
0.018981,-0.202388,-9.794812,0.222173,-0.0145607286,-0.0068697862,0.0013387952
0.020031,-0.228808,-9.787629,0.229378,-0.0145607286,-0.0058055611,0.0013387952
0.021048,-0.240817,-9.785234,0.229378,-0.0145607286,-0.0068697862,0.0013387952
0.023147,-0.228808,-9.785234,0.217369,-0.0156249537,-0.0058055611,0.0024030204
0.024197,-0.236013,-9.78284,0.229378,-0.0156249537,-0.0058055611,0.0013387952
0.022098,-0.228808,-9.792417,0.222173,-0.0156249537,-0.0058055611,0.0013387952
0.025246,-0.233611,-9.785234,0.229378,-0.0156249537,-0.0058055611,0.0002745701
0.026267,-0.224004,-9.785234,0.219771,-0.0156249537,-0.0058055611,0.0002745701
0.027314,-0.226406,-9.792417,0.219771,-0.0145607286,-0.0058055611,0.0002745701
0.028364,-0.228808,-9.801995,0.222173,-0.0134965034,-0.0047413359,-0.0007896551
0.029413,-0.226406,-9.792417,0.217369,-0.0134965034,-0.0047413359,0.0002745701
0.03043,-0.224004,-9.778051,0.212566,-0.0134965034,-0.0058055611,0.0002745701
0.03148,-0.221603,-9.785234,0.210164,-0.0134965034,-0.0068697862,0.0002745701
0.03253,-0.224004,-9.801995,0.207762,-0.0124322782,-0.0068697862,-0.0007896551
0.033579,-0.224004,-9.794812,0.212566,-0.0124322782,-0.0068697862,-0.0007896551
0.034597,-0.221603,-9.785234,0.219771,-0.0134965034,-0.0068697862,0.0002745701
0.035647,-0.221603,-9.792417,0.222173,-0.0145607286,-0.0058055611,0.0013387952
0.036696,-0.224004,-9.794812,0.217369,-0.0145607286,-0.0058055611,0.0013387952
0.037746,-0.226406,-9.792417,0.226976,-0.0145607286,-0.0058055611,0.0013387952
0.038766,-0.226406,-9.785234,0.23178,-0.0145607286,-0.0058055611,0.0013387952
0.039813,-0.224004,-9.785234,0.222173,-0.0134965034,-0.0068697862,0.0002745701
0.040863,-0.226406,-9.785234,0.222173,-0.0134965034,-0.0079340114,-0.0007896551
0.041913,-0.226406,-9.785234,0.224574,-0.0145607286,-0.0058055611,-0.0007896551
0.042962,-0.219201,-9.787629,0.217369,-0.0145607286,-0.0047413359,-0.0007896551
0.04398,-0.219201,-9.785234,0.219771,-0.0134965034,-0.0058055611,0.0002745701
0.045029,-0.221603,-9.790023,0.234181,-0.0124322782,-0.0058055611,0.0013387952
0.046079,-0.219201,-9.7996,0.236583,-0.0134965034,-0.0058055611,0.0013387952
0.047129,-0.219201,-9.797206,0.222173,-0.0145607286,-0.0047413359,0.0002745701
0.048147,-0.221603,-9.790023,0.212566,-0.0145607286,-0.0058055611,0.0002745701
0.049196,-0.214397,-9.787629,0.20536,-0.0145607286,-0.0058055611,0.0002745701
0.050246,-0.216799,-9.785234,0.202958,-0.0145607286,-0.0058055611,-0.0007896551
0.051295,-0.228808,-9.785234,0.207762,-0.0156249537,-0.0058055611,-0.0007896551
0.052313,-0.236013,-9.7996,0.214967,-0.0145607286,-0.0068697862,0.0002745701
0.053363,-0.23121,-9.797206,0.219771,-0.0134965034,-0.0079340114,0.0002745701
0.054412,-0.221603,-9.792417,0.217369,-0.0145607286,-0.0079340114,-0.0007896551
0.055462,-0.228808,-9.797206,0.210164,-0.0145607286,-0.0068697862,-0.0007896551
0.056513,-0.236013,-9.794812,0.212566,-0.0134965034,-0.0079340114,-0.0007896551
0.057529,-0.226406,-9.794812,0.219771,-0.0134965034,-0.0079340114,-0.0007896551
0.058578,-0.219201,-9.794812,0.219771,-0.0145607286,-0.0068697862,-0.0018538802
0.059628,-0.219201,-9.790023,0.219771,-0.0145607286,-0.0047413359,-0.0007896551
0.060677,-0.226406,-9.794812,0.214967,-0.0145607286,-0.0036771108,0.0002745701
0.061695,-0.214397,-9.792417,0.212566,-0.0145607286,-0.0079340114,-0.0007896551
0.062744,-0.211995,-9.785234,0.224574,-0.0145607286,-0.0058055611,-0.0018538802
0.063795,-0.216799,-9.785234,0.224574,-0.0134965034,-0.0058055611,-0.0007896551
0.064844,-0.219201,-9.785234,0.214967,-0.0134965034,-0.0068697862,-0.0007896551
0.065861,-0.226406,-9.785234,0.214967,-0.0134965034,-0.0068697862,-0.0018538802
0.066911,-0.224004,-9.790023,0.222173,-0.0145607286,-0.0058055611,-0.0018538802
0.067961,-0.219201,-9.785234,0.229378,-0.0145607286,-0.0058055611,-0.0007896551
0.069013,-0.224004,-9.792417,0.23178,-0.0145607286,-0.0079340114,-0.0007896551
0.07006,-0.23121,-9.82115,0.23178,-0.0134965034,-0.0089982365,-0.0007896551
0.071077,-0.240817,-9.878614,0.258199,-0.0134965034,-0.0068697862,-0.0007896551
0.072127,-0.195183,-9.825938,0.258199,-0.0145607286,-0.0047413359,-0.0018538802
0.073177,-0.0823,-9.670306,0.198155,-0.0145607286,-0.0026128856,-0.0018538802
0.074226,-0.00064,-9.72777,0.145316,-0.0145607286,0.0037724653,0.0002745701
0.075244,0.037788,-9.775657,0.099683,-0.0156249537,0.0176073923,0.0045314707
0.076294,-0.06789,-9.699038,0.006014,-0.0145607286,0.029313869,0.006659921
0.077343,-0.310468,-9.87622,-0.080449,-0.0145607286,0.0314423193,0.0045314707
0.078393,-0.432958,-9.969599,-0.087655,-0.0092396028,0.0325065445,0.0013387952
0.07941,-0.565055,-9.878614,-0.063637,-0.0007258016,0.0271854187,0.0002745701
0.080459,-0.711562,-9.828333,0.10929,0.0045953242,0.0101578162,0.0013387952
0.081511,-0.480993,-9.260872,0.366278,0.0045953242,-0.0079340114,-0.0018538802
0.082559,-0.257629,-8.700594,0.512786,-0.0028542519,-0.0217689384,-0.0039823305
0.083608,-0.562653,-9.435659,0.85864,-0.0113680531,-0.0356038654,0.0034672456
0.084626,-0.65392,-10.613679,0.889862,-0.0209460795,-0.0568883684,0.0024030204
0.085675,-0.151951,-10.611285,0.347064,-0.0358452316,-0.0728517457,-0.0135603569
0.086725,0.088225,-9.921712,0.104486,-0.0432948077,-0.0696590703,-0.021009933
0.087775,0.767923,-9.725376,-0.068441,-0.0294598807,-0.0345396402,-0.0093034563
0.088792,0.72229,-9.485941,-0.183725,-0.017753404,-0.0143193623,-0.0029181054
0.089842,0.057002,-9.830727,0.030032,0.0024668739,-0.0015486604,0.0013387952
0.090894,-0.053479,-10.568186,0.133307,0.0163018009,-0.0026128856,-0.0039823305
0.091941,-0.022256,-10.419737,0.236583,0.0163018009,0.001644015,-0.0029181054
0.092959,-0.483395,-9.823544,0.479161,0.0141733506,0.0027082402,0.0077241462
0.094011,-0.493002,-9.605658,0.580035,-0.0049827022,-0.0089982365,0.0098525965
0.095058,-0.281647,-9.72777,0.841827,-0.0262672052,-0.0047413359,0.0055956959
0.096107,-0.665929,-9.670306,1.113226,-0.0369094568,0.0080293659,0.0055956959
0.097125,-0.728374,-9.126788,0.966719,-0.0539370592,0.0005797899,0.0087883713
0.098174,-0.392128,-8.920874,0.519991,-0.0635150856,-0.0089982365,0.006659921
0.099224,-0.605884,-9.306365,0.106888,-0.0550012844,0.001644015,0.006659921
0.100274,-0.819641,-9.998331,-0.308617,-0.0379736819,0.0112220414,0.0055956959
0.101323,-0.519421,-10.338329,-0.637658,-0.0230745298,0.0165431672,-0.0039823305
0.102341,-0.382521,-10.161147,-0.707309,-0.0060469273,0.0282496439,-0.0146245821
0.103393,-0.353699,-10.561003,-0.551195,0.0120449003,0.0346349948,-0.0167530324
0.10444,0.037788,-10.367061,-0.241368,0.023751377,0.0325065445,-0.0114319066
0.105489,0.141064,-9.205802,-0.118878,0.0280082776,0.0229285181,-0.0050465557
0.106509,-0.151951,-9.584109,0.006014,0.0258798273,-0.0047413359,0.0002745701
0.107556,0.112242,-10.094105,0.16453,0.0152375758,-0.026025839,0.0024030204
0.108606,0.467703,-9.081296,0.008416,0.0014026488,-0.0185762629,-0.0007896551
0.109656,0.241938,-9.167492,0.037237,-0.017753404,-0.0079340114,0.0013387952
0.110673,0.227527,-9.521856,0.289422,-0.0401021322,-0.0026128856,0.0087883713
0.111723,0.148269,-8.90172,0.130906,-0.0528728341,0.0048366905,0.0119810468
0.112772,-0.423351,-9.900163,0.147718,-0.0528728341,-0.0004844353,0.0109168216
0.113822,-0.339289,-9.699038,0.294225,-0.0220103046,-0.012190912,0.0045314707
0.114871,-0.61309,-9.847487,0.553616,0.0003384236,-0.012190912,0.0034672456
0.115891,-0.519421,-10.644805,0.949907,0.0163018009,-0.0079340114,0.0034672456
0.116938,-0.40894,-9.988754,1.048379,0.0290725027,0.0069651408,0.0024030204
0.117988,-0.464181,-9.153126,1.130039,0.0248156021,0.0112220414,-0.0007896551
0.119037,-0.096711,-9.430871,0.990736,0.0045953242,0.0037724653,-0.0018538802
0.120055,0.268357,-9.450025,0.803399,-0.0188176292,0.0122862666,-0.0007896551
0.121105,0.17709,-9.038198,0.623267,-0.0358452316,0.0239927432,0.0024030204
0.122154,0.037788,-9.648756,0.250994,-0.0486159335,0.0208000678,0.0045314707
0.123203,0.011368,-9.888191,-0.130886,-0.0571297347,0.0144147169,0.0024030204
0.124221,-0.279245,-9.569743,-0.423901,-0.0475517083,0.0133504917,0.0013387952
0.125271,-0.519421,-10.264104,-0.594427,-0.0273314304,0.0027082402,0.0013387952
0.126321,-0.274441,-10.410159,-0.592025,-0.0166891789,-0.0079340114,0.0002745701
0.12737,-0.183174,-9.936078,-0.255778,-0.0071111525,-0.012190912,0.0002745701
0.128419,-0.317673,-10.230583,0.174137,-0.003918477,-0.0228331635,0.0024030204
0.129437,-0.113523,-9.801995,0.560821,-0.0113680531,-0.0302827396,0.0034672456
0.130487,-0.017453,-8.79158,0.865845,-0.0156249537,-0.0281542893,0.0013387952
0.131536,-0.197585,-9.126788,0.769774,-0.0241387549,-0.0207047132,0.0045314707
0.132585,-0.31287,-9.938473,0.529598,-0.0369094568,-0.0089982365,0.0087883713
0.133603,-0.596277,-9.845093,0.241387,-0.0443590329,-0.0004844353,0.0045314707
0.134653,-0.730776,-9.608052,-0.05403,-0.0496801586,0.0027082402,-0.0050465557
0.135703,-0.54584,-9.835516,-0.087655,-0.0475517083,0.0165431672,-0.0156888072
0.136752,-0.598679,-9.993543,0.063656,-0.0305241059,0.0388918954,-0.0167530324
0.13777,-0.73558,-10.165936,0.311038,-0.0081753776,0.0484699218,-0.0103676814
0.138819,-0.725973,-10.204245,0.54641,0.0035310991,0.0388918954,-0.0061107808
0.139869,-0.553046,-9.785234,0.397501,-0.0113680531,0.0144147169,-0.0103676814
0.140918,-0.185576,-9.536222,0.416715,-0.031588331,0.015478942,-0.0178172575
0.141968,0.069011,-9.145943,0.315841,-0.0507443838,0.0208000678,-0.0188814827
0.142985,0.237134,-9.382984,0.323047,-0.0603224102,0.0303780942,-0.0135603569
0.144035,0.347615,-9.885797,0.229378,-0.0613866353,0.043148796,-0.0082392311
0.145084,0.093028,-10.091711,0.08287,-0.0518086089,0.0537910475,-0.0039823305
0.146136,-0.322477,-10.110866,0.219771,-0.0347810065,0.0516625972,-0.0029181054
0.147152,-0.296057,-10.110866,0.169334,-0.0241387549,0.0378276702,-0.0103676814
0.148201,-0.199987,-10.106077,0.495973,-0.0188176292,0.0325065445,-0.0178172575
0.14925,-0.303262,-9.564954,0.846631,-0.0156249537,0.0399561205,-0.0167530324
0.1503,-0.370512,-9.280027,0.635276,-0.0220103046,0.043148796,-0.0124961318
0.151318,-0.632304,-10.086922,0.745757,-0.0337167813,0.0335707696,-0.0093034563
0.152367,-0.812436,-9.804389,0.433528,-0.0390379071,0.0176073923,-0.0146245821
0.153416,-0.601081,-8.734115,-0.294206,-0.0422305825,0.0080293659,-0.0284595091
0.154466,-0.392128,-9.768474,-0.344643,-0.0411663574,0.0112220414,-0.0359090851
0.155518,-0.115925,-10.527482,-0.58482,-0.031588331,0.029313869,-0.0295237342
0.156533,0.124251,-9.047775,-1.031547,-0.0198818543,0.0516625972,-0.0252668336
0.157583,0.020975,-9.208196,-0.798576,-0.0134965034,0.0559194979,-0.021009933
0.158634,0.004163,-10.656777,-0.433508,-0.0092396028,0.0580479482,-0.0114319066
0.159681,0.049797,-9.859459,-0.527177,-0.0060469273,0.0665617494,-0.007175006
0.160699,-0.06789,-9.35904,-0.541588,-0.0071111525,0.0633690739,-0.0124961318
0.161749,0.0546,-10.48199,-0.238966,-0.0071111525,0.0633690739,-0.0103676814
0.162798,0.093028,-10.000726,-0.267787,-0.0017900267,0.084653577,-0.0018538802
0.163848,-0.358503,-9.438054,-0.387875,0.0003384236,0.0867820273,0.0002745701
0.164865,-0.329682,-10.26171,-0.114074,0.0003384236,0.0718828752,-0.0029181054
0.165915,-0.725973,-9.265661,0.099683,0.0216229267,0.0612406236,-0.0061107808
0.166964,-0.485796,-10.197062,0.512786,0.0205587015,0.0271854187,-0.0093034563
0.168016,0.047395,-9.550588,0.212566,0.0216229267,0.0165431672,-0.0146245821
0.169031,-0.348896,-9.708615,0.039639,0.0205587015,0.0112220414,-0.0188814827
0.170081,-0.252825,-10.55382,0.632874,0.0131091254,-0.0143193623,-0.0242026084
0.17113,0.117046,-9.711009,0.030032,0.00991645,-0.0324111899,-0.0284595091
0.17218,-0.039069,-9.72777,0.212566,0.0131091254,-0.0441176666,-0.0273952839
0.173229,0.049797,-10.048613,0.863443,0.0205587015,-0.0622094942,-0.0199457078
0.174247,0.306785,-9.478758,0.219771,0.023751377,-0.0685948451,-0.0114319066
0.175296,0.251545,-9.483546,0.507982,0.0173660261,-0.0632737194,-0.0061107808
0.176346,0.097832,-9.682277,0.435929,0.0056595494,-0.0558241433,-0.0018538802
0.177396,-0.075095,-9.904952,0.193351,-0.003918477,-0.039860766,-0.0007896551
0.178413,-0.305664,-9.691855,0.570428,-0.0103038279,-0.0175120377,-0.0050465557
0.179462,-0.394529,-9.45242,0.399903,-0.0188176292,0.0005797899,-0.0050465557
0.180514,-0.550644,-9.924107,0.767373,-0.0166891789,0.0165431672,0.0024030204
0.181561,-0.800427,-9.971993,1.048379,-0.0028542519,0.0218642929,0.0098525965
0.182579,-0.593876,-9.914529,0.966719,-0.0017900267,0.0165431672,0.006659921
0.183629,-0.248022,-9.861853,1.014754,-0.0071111525,0.0271854187,-0.0029181054
0.184678,-0.392128,-9.691855,0.85864,-0.0145607286,0.0527268224,-0.0029181054
0.185728,-0.344092,-9.598475,0.813006,-0.0294598807,0.0686901997,-0.0018538802
0.186777,0.064207,-9.270449,0.438331,-0.0401021322,0.084653577,-0.0018538802
0.187795,0.025779,-9.605658,0.419117,-0.0347810065,0.098488504,-0.0007896551
0.188844,-0.079899,-9.45242,0.351868,-0.0294598807,0.0910389279,-0.0007896551
0.189894,0.150671,-8.504258,-0.138092,-0.0283956555,0.0814609015,-0.0029181054
0.190943,-0.488198,-11.315223,0.27261,-0.0060469273,0.0665617494,0.0077241462
0.191961,-0.382521,-9.830727,-0.284599,-0.0081753776,0.0644332991,0.0055956959
0.193012,-0.562653,-9.014254,-0.594427,-0.0092396028,0.0718828752,-0.0039823305
0.194059,-0.689946,-9.636785,-0.690497,-0.0145607286,0.0814609015,-0.0050465557
0.195109,-0.562653,-10.043824,-0.555998,-0.0081753776,0.0931673782,-0.0018538802
0.196127,-0.598679,-10.01988,-0.676086,-0.0007258016,0.098488504,-0.0061107808
0.197176,-0.605884,-9.076507,-0.399884,-0.0028542519,0.0995527292,-0.0114319066
0.198225,-0.692348,-9.205802,-0.049227,0.0045953242,0.0974242788,-0.0103676814
0.199275,-0.641911,-10.549031,0.416715,0.0067237745,0.0995527292,-0.0029181054
0.200325,-0.12313,-9.864248,0.495973,-0.0071111525,0.1165803316,0.0002745701
0.201342,0.306785,-8.695806,-0.027611,-0.0305241059,0.1431859605,-0.0029181054
0.202394,0.306785,-10.127626,0.479161,-0.0496801586,0.1655346887,-0.0018538802
0.203441,0.316392,-11.422969,0.829818,-0.0496801586,0.1825622911,0.0055956959
0.204491,0.328401,-10.321568,0.743355,-0.0358452316,0.1910760924,0.006659921
0.205511,0.049797,-8.961578,1.175672,-0.0209460795,0.1751127151,0.0024030204
0.206558,-0.10872,-8.674257,1.13244,-0.0103038279,0.1410575101,0.0034672456
0.207607,-0.048676,-9.215379,1.300564,-0.0017900267,0.112323431,0.0087883713
0.208657,-0.0823,-9.85467,1.432661,-0.0049827022,0.0825251267,0.0119810468
0.209675,0.035386,-9.679883,0.692918,-0.0283956555,0.0559194979,0.0119810468
0.210724,-0.019855,-9.971993,0.118897,-0.045423258,0.0548552727,0.0077241462
0.211774,-0.476189,-11.102126,-0.162109,-0.0475517083,0.0761397758,0.0002745701
0.212823,-0.620295,-10.546637,-0.515168,-0.0401021322,0.1016811795,-0.0103676814
0.213873,-0.622697,-8.884959,-0.704908,-0.0220103046,0.1070023052,-0.0252668336
0.214893,-0.605884,-8.315104,-0.404687,-0.0060469273,0.0793324512,-0.0252668336
0.21594,-0.151951,-8.370174,-0.481544,0.0067237745,0.0452772463,-0.007175006
0.21699,-0.214397,-11.331983,-0.130886,0.0056595494,-0.0196404881,0.0183663977
0.218039,-0.063086,-11.166773,-0.452723,-0.0198818543,-0.0207047132,0.0087883713
0.219057,-0.175969,-9.921712,-0.183725,-0.0464874832,0.0208000678,-0.0061107808
0.220106,-0.543439,-9.591292,0.724141,-0.073093112,0.0601763985,-0.0082392311
0.221156,-0.211995,-8.841861,0.880255,-0.0933133899,0.0952958285,0.0013387952
0.222205,0.035386,-8.573694,1.2141,-0.0858638138,0.1229656825,0.0173021725
0.223223,-0.274441,-10.668749,1.63681,-0.0518086089,0.1080665304,0.0290086492
0.224273,-0.425752,-12.105358,0.923487,-0.0188176292,0.0740113255,0.0215590732
0.225322,-0.413744,-10.410159,0.166932,-0.0049827022,0.0718828752,-0.0061107808
0.226372,-0.514618,-8.240879,0.169334,-0.0113680531,0.1038096298,-0.0316521845
0.228439,-1.367243,-10.448469,1.490303,-0.0156249537,0.1325437089,-0.0135603569
0.229488,-1.179906,-10.632834,0.813006,-0.0188176292,0.1038096298,-0.0114319066
0.227392,-0.910908,-8.664679,0.767373,-0.0188176292,0.1346721592,-0.0305879594
0.230538,-0.834052,-10.163541,-0.294206,-0.0262672052,0.0835893518,-0.03484486
0.231587,-0.795624,-10.017486,-0.697702,-0.0241387549,0.0889104776,-0.0635789391
0.232605,-0.680339,-9.093268,-0.810585,-0.0198818543,0.1112592058,-0.0710285152
0.233654,-0.538635,-8.185809,-0.457526,-0.0198818543,0.1219014574,-0.0518724624
0.234704,-0.363307,-9.08369,-0.580016,-0.0262672052,0.0931673782,-0.021009933
0.235753,0.09543,-11.176351,-0.560802,-0.0337167813,0.0623048488,0.0045314707
0.237821,0.760718,-9.801995,-1.074779,-0.0390379071,0.1314794838,-0.0029181054
0.236772,0.650237,-11.468461,-0.541588,-0.0337167813,0.0825251267,0.0119810468
0.23887,0.414864,-8.705383,-0.491151,-0.0475517083,0.1708558144,-0.0178172575
0.239919,0.366829,-9.040592,0.267806,-0.0411663574,0.2017183439,-0.0082392311
0.240937,0.621416,-10.187485,0.89947,-0.0209460795,0.2261955224,0.0183663977
0.241987,0.383642,-11.245787,0.993138,0.0035310991,0.236837774,0.034329775
0.243036,-0.267236,-9.296787,0.066058,0.0290725027,0.2304524231,-0.021009933
0.244086,-0.444966,-8.171443,0.558419,0.0248156021,0.2283239727,-0.0497440121
0.245137,-0.992568,-9.327914,1.927424,0.0205587015,0.1921403175,-0.0412302109
0.246153,-1.468117,-10.352695,2.46782,0.0280082776,0.1155161065,-0.0135603569
0.247202,-1.237548,-10.000726,0.990736,0.0194944764,0.0420845709,-0.0061107808
0.248252,-0.795624,-9.35904,0.130906,-0.0028542519,0.0144147169,-0.0316521845
0.249301,-0.589072,-9.306365,-0.407089,-0.0326525562,0.0186716175,-0.0603862637
0.250319,-0.54584,-10.036641,-0.145297,-0.0656435359,0.0208000678,-0.0571935882
0.251368,-0.507412,-9.670306,0.500777,-0.0699004365,-0.0089982365,-0.0273952839
0.252418,0.078618,-9.157915,-0.130886,-0.0613866353,-0.0717875206,0.0013387952
0.253467,1.111375,-10.357484,-0.692899,-0.0613866353,-0.0941362488,0.0194306229
0.254485,1.692602,-10.920156,-1.653604,-0.0571297347,-0.0143193623,0.0215590732
