Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000151,-0.202388,-9.787629,0.219771,-0.0071111525,-0.0015486604,-0.0242026084
0.000873,-0.197585,-9.785234,0.226976,-0.0081753776,-0.0026128856,-0.0242026084
0.001922,-0.195183,-9.794812,0.226976,-0.0071111525,-0.0026128856,-0.0242026084
0.002972,-0.197585,-9.794812,0.226976,-0.0071111525,-0.0026128856,-0.0252668336
0.004021,-0.197585,-9.78284,0.229378,-0.0092396028,-0.0015486604,-0.0252668336
0.005071,-0.195183,-9.785234,0.229378,-0.0103038279,-0.0004844353,-0.0242026084
0.006088,-0.197585,-9.801995,0.229378,-0.0081753776,-0.0004844353,-0.0242026084
0.007138,-0.199987,-9.801995,0.224574,-0.0081753776,-0.0015486604,-0.0252668336
0.00819,-0.209594,-9.787629,0.224574,-0.0081753776,-0.0026128856,-0.0252668336
0.009237,-0.214397,-9.785234,0.23178,-0.0081753776,-0.0015486604,-0.0242026084
0.010254,-0.202388,-9.787629,0.23178,-0.0071111525,-0.0004844353,-0.0252668336
0.011306,-0.199987,-9.790023,0.236583,-0.0071111525,-0.0004844353,-0.0252668336
0.012353,-0.207192,-9.787629,0.238985,-0.0081753776,-0.0015486604,-0.0252668336
0.013403,-0.197585,-9.801995,0.226976,-0.0092396028,-0.0015486604,-0.0242026084
0.014452,-0.192781,-9.7996,0.238985,-0.0092396028,-0.0004844353,-0.0252668336
0.01547,-0.192781,-9.7996,0.234181,-0.0092396028,-0.0015486604,-0.0252668336
0.016519,-0.197585,-9.7996,0.219771,-0.0081753776,-0.0026128856,-0.0242026084
0.017569,-0.202388,-9.792417,0.224574,-0.0081753776,-0.0036771108,-0.0242026084
0.018618,-0.197585,-9.790023,0.23178,-0.0081753776,-0.0026128856,-0.0252668336
0.019636,-0.192781,-9.794812,0.243788,-0.0092396028,-0.0015486604,-0.0252668336
0.020687,-0.197585,-9.792417,0.24619,-0.0103038279,-0.0015486604,-0.0242026084
0.021735,-0.192781,-9.794812,0.222173,-0.0103038279,-0.0015486604,-0.0242026084
0.022784,-0.197585,-9.7996,0.212566,-0.0103038279,-0.0015486604,-0.0252668336
0.023802,-0.202388,-9.794812,0.219771,-0.0103038279,-0.0026128856,-0.0242026084
0.024851,-0.195183,-9.801995,0.224574,-0.0103038279,-0.0036771108,-0.0242026084
0.025901,-0.185576,-9.804389,0.234181,-0.0103038279,-0.0036771108,-0.0252668336
0.02695,-0.195183,-9.797206,0.241387,-0.0092396028,-0.0036771108,-0.0252668336
0.027968,-0.209594,-9.790023,0.238985,-0.0092396028,-0.0036771108,-0.0263310588
0.029017,-0.197585,-9.785234,0.234181,-0.0103038279,-0.0015486604,-0.0263310588
0.030067,-0.19038,-9.785234,0.224574,-0.0103038279,-0.0004844353,-0.0273952839
0.031116,-0.20479,-9.787629,0.219771,-0.0103038279,-0.0004844353,-0.0273952839
0.032165,-0.20479,-9.792417,0.224574,-0.0103038279,-0.0015486604,-0.0263310588
0.033186,-0.192781,-9.792417,0.229378,-0.0092396028,-0.0015486604,-0.0252668336
0.034233,-0.192781,-9.785234,0.229378,-0.0092396028,-0.0015486604,-0.0252668336
0.035282,-0.202388,-9.775657,0.229378,-0.0092396028,-0.0026128856,-0.0252668336
0.036331,-0.202388,-9.778051,0.224574,-0.0092396028,-0.0026128856,-0.0242026084
0.037349,-0.199987,-9.785234,0.229378,-0.0103038279,-0.0004844353,-0.0242026084
0.038399,-0.197585,-9.785234,0.226976,-0.0103038279,0.0005797899,-0.0263310588
0.039448,-0.202388,-9.785234,0.214967,-0.0103038279,-0.0015486604,-0.0273952839
0.040497,-0.20479,-9.792417,0.217369,-0.0113680531,-0.0015486604,-0.0273952839
0.041515,-0.202388,-9.785234,0.217369,-0.0113680531,-0.0026128856,-0.0263310588
0.042567,-0.192781,-9.785234,0.217369,-0.0124322782,-0.0026128856,-0.0252668336
0.043613,-0.192781,-9.792417,0.222173,-0.0113680531,-0.0015486604,-0.0263310588
0.044663,-0.199987,-9.790023,0.229378,-0.0113680531,-0.0015486604,-0.0263310588
