Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.00015,-0.20479,-9.794812,0.214967,0.0248156021,-0.0047413359,-0.0454871115
0.000765,-0.202388,-9.797206,0.212566,0.023751377,-0.0058055611,-0.0454871115
0.001655,-0.207192,-9.785234,0.207762,0.0248156021,-0.0079340114,-0.0454871115
0.002705,-0.209594,-9.787629,0.202958,0.0258798273,-0.0079340114,-0.0465513367
0.003757,-0.202388,-9.804389,0.20536,0.0258798273,-0.0068697862,-0.0465513367
0.004772,-0.20479,-9.7996,0.207762,0.0248156021,-0.0079340114,-0.0465513367
0.005822,-0.211995,-9.792417,0.210164,0.023751377,-0.0079340114,-0.0454871115
0.006871,-0.211995,-9.804389,0.214967,0.0248156021,-0.0079340114,-0.0465513367
0.007921,-0.211995,-9.801995,0.212566,0.0248156021,-0.0068697862,-0.0465513367
0.00897,-0.219201,-9.78284,0.20536,0.0258798273,-0.0068697862,-0.0476155618
0.009988,-0.221603,-9.785234,0.210164,0.0258798273,-0.0068697862,-0.0476155618
0.011038,-0.221603,-9.794812,0.214967,0.0248156021,-0.0068697862,-0.0476155618
0.012087,-0.209594,-9.787629,0.219771,0.0248156021,-0.0047413359,-0.0476155618
0.013138,-0.202388,-9.787629,0.219771,0.0248156021,-0.0058055611,-0.0476155618
0.014154,-0.211995,-9.794812,0.214967,0.023751377,-0.0079340114,-0.0476155618
0.015204,-0.221603,-9.797206,0.219771,0.023751377,-0.0079340114,-0.048679787
0.016256,-0.226406,-9.790023,0.219771,0.0248156021,-0.0089982365,-0.048679787
0.017304,-0.219201,-9.785234,0.217369,0.0248156021,-0.0089982365,-0.048679787
0.018321,-0.209594,-9.794812,0.212566,0.023751377,-0.0089982365,-0.048679787
0.019371,-0.20479,-9.801995,0.212566,0.023751377,-0.0079340114,-0.0497440121
0.02042,-0.211995,-9.801995,0.219771,0.0226871518,-0.0068697862,-0.0497440121
0.02147,-0.211995,-9.797206,0.23178,0.023751377,-0.0079340114,-0.048679787
0.02252,-0.211995,-9.785234,0.219771,0.0248156021,-0.0068697862,-0.048679787
0.023537,-0.209594,-9.778051,0.219771,0.0248156021,-0.0079340114,-0.0497440121
0.024587,-0.199987,-9.785234,0.214967,0.023751377,-0.0089982365,-0.0497440121
0.025636,-0.192781,-9.797206,0.210164,0.0226871518,-0.0089982365,-0.0497440121
0.026686,-0.195183,-9.794812,0.214967,0.0226871518,-0.0079340114,-0.0497440121
0.027704,-0.216799,-9.790023,0.224574,0.0216229267,-0.0068697862,-0.0508082373
0.028756,-0.224004,-9.787629,0.229378,0.0216229267,-0.0068697862,-0.0497440121
0.029803,-0.20479,-9.792417,0.219771,0.0216229267,-0.0058055611,-0.0497440121
0.030853,-0.195183,-9.801995,0.202958,0.0226871518,-0.0058055611,-0.0497440121
0.031871,-0.202388,-9.806783,0.210164,0.023751377,-0.0058055611,-0.0508082373
0.03292,-0.211995,-9.801995,0.222173,0.023751377,-0.0079340114,-0.0497440121
0.033969,-0.211995,-9.794812,0.217369,0.023751377,-0.0079340114,-0.0497440121
0.035019,-0.202388,-9.785234,0.207762,0.0226871518,-0.0068697862,-0.0508082373
0.036069,-0.192781,-9.790023,0.212566,0.0226871518,-0.0068697862,-0.0497440121
0.038136,-0.207192,-9.7996,0.226976,0.0216229267,-0.0079340114,-0.0508082373
0.037087,-0.197585,-9.792417,0.219771,0.0226871518,-0.0089982365,-0.0497440121
