Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000146,-0.219201,-9.794812,0.23178,-0.0017900267,0.015478942,0.0151737222
0.001439,-0.226406,-9.794812,0.224574,-0.0017900267,0.0165431672,0.0151737222
0.002457,-0.228808,-9.787629,0.224574,-0.0028542519,0.0176073923,0.0151737222
0.003506,-0.226406,-9.785234,0.226976,-0.0028542519,0.0165431672,0.0141094971
0.004556,-0.219201,-9.785234,0.226976,-0.0017900267,0.0165431672,0.0141094971
0.005605,-0.211995,-9.785234,0.222173,-0.0017900267,0.0186716175,0.0151737222
0.006623,-0.209594,-9.794812,0.217369,-0.0028542519,0.0186716175,0.0141094971
0.007673,-0.207192,-9.801995,0.222173,-0.0028542519,0.0176073923,0.0151737222
0.008725,-0.209594,-9.792417,0.229378,-0.0017900267,0.0176073923,0.0151737222
0.009772,-0.211995,-9.780446,0.229378,-0.0007258016,0.0176073923,0.0151737222
0.010822,-0.211995,-9.785234,0.219771,-0.0017900267,0.0165431672,0.0141094971
0.011843,-0.207192,-9.794812,0.217369,-0.0017900267,0.015478942,0.0141094971
0.01289,-0.207192,-9.780446,0.226976,-0.0017900267,0.015478942,0.0151737222
0.013939,-0.216799,-9.785234,0.219771,-0.0007258016,0.0165431672,0.0151737222
0.014989,-0.221603,-9.792417,0.219771,-0.0007258016,0.015478942,0.0151737222
0.016006,-0.211995,-9.787629,0.224574,-0.0017900267,0.015478942,0.0151737222
0.017056,-0.202388,-9.785234,0.219771,-0.0017900267,0.015478942,0.0141094971
0.018106,-0.202388,-9.785234,0.219771,-0.0017900267,0.0133504917,0.0141094971
0.019155,-0.202388,-9.785234,0.219771,-0.0028542519,0.0133504917,0.0151737222
0.020173,-0.202388,-9.794812,0.226976,-0.003918477,0.0165431672,0.0141094971
0.021226,-0.207192,-9.797206,0.23178,-0.0017900267,0.0176073923,0.0130452719
0.022272,-0.216799,-9.794812,0.23178,-0.0007258016,0.0165431672,0.0141094971
0.024372,-0.207192,-9.778051,0.226976,-0.0017900267,0.0176073923,0.0141094971
0.02539,-0.197585,-9.785234,0.214967,-0.0007258016,0.0186716175,0.0151737222
0.02644,-0.202388,-9.790023,0.217369,-0.0017900267,0.0176073923,0.0162379474
0.023322,-0.216799,-9.785234,0.234181,-0.0017900267,0.015478942,0.0151737222
0.027489,-0.209594,-9.778051,0.222173,-0.0028542519,0.0144147169,0.0151737222
0.028539,-0.209594,-9.773263,0.222173,-0.0017900267,0.0133504917,0.0151737222
0.029556,-0.207192,-9.778051,0.219771,-0.0028542519,0.0133504917,0.0162379474
0.030606,-0.211995,-9.785234,0.222173,-0.0017900267,0.0144147169,0.0151737222
0.031656,-0.219201,-9.792417,0.212566,-0.0017900267,0.015478942,0.0141094971
0.032706,-0.219201,-9.794812,0.202958,-0.0028542519,0.0165431672,0.0141094971
0.033726,-0.221603,-9.785234,0.212566,-0.0028542519,0.0165431672,0.0141094971
0.034773,-0.228808,-9.780446,0.214967,-0.0028542519,0.0165431672,0.0141094971
0.035823,-0.224004,-9.785234,0.210164,-0.0007258016,0.015478942,0.0151737222
0.036873,-0.214397,-9.787629,0.202958,-0.0007258016,0.015478942,0.0141094971
0.037891,-0.214397,-9.794812,0.202958,-0.0017900267,0.015478942,0.0151737222
0.03894,-0.214397,-9.801995,0.217369,-0.0007258016,0.0165431672,0.0151737222
0.03999,-0.219201,-9.804389,0.219771,-0.0007258016,0.015478942,0.0141094971
0.041039,-0.221603,-9.7996,0.217369,-0.0017900267,0.015478942,0.0141094971
0.042092,-0.211995,-9.792417,0.212566,-0.0017900267,0.0176073923,0.0141094971
0.043107,-0.199987,-9.794812,0.219771,-0.0007258016,0.0176073923,0.0141094971
0.044157,-0.202388,-9.809178,0.219771,-0.0007258016,0.015478942,0.0141094971
0.045207,-0.211995,-9.809178,0.217369,-0.0007258016,0.0144147169,0.0151737222
0.046256,-0.214397,-9.790023,0.219771,-0.0017900267,0.015478942,0.0141094971
0.047274,-0.216799,-9.785234,0.226976,-0.0017900267,0.0144147169,0.0141094971
0.048324,-0.219201,-9.794812,0.23178,-0.0007258016,0.0144147169,0.0141094971
0.049373,-0.224004,-9.797206,0.219771,-0.0007258016,0.015478942,0.0141094971
0.050423,-0.224004,-9.794812,0.207762,0.0003384236,0.015478942,0.0151737222
0.051441,-0.219201,-9.787629,0.212566,0.0003384236,0.0165431672,0.0151737222
0.052491,-0.214397,-9.785234,0.222173,0.0003384236,0.0165431672,0.0151737222
0.05354,-0.219201,-9.787629,0.229378,0.0003384236,0.0165431672,0.0162379474
0.054592,-0.221603,-9.785234,0.219771,0.0003384236,0.0165431672,0.0162379474
0.05564,-0.219201,-9.790023,0.219771,-0.0007258016,0.0165431672,0.0151737222
0.056657,-0.211995,-9.794812,0.219771,-0.0007258016,0.015478942,0.0151737222
0.057707,-0.211995,-9.785234,0.20536,0.0003384236,0.0144147169,0.0151737222
