Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000132,-0.20479,-9.794812,0.23178,-0.0081753776,-0.0089982365,-0.0220741581
0.000463,-0.20479,-9.794812,0.23178,-0.0081753776,-0.0089982365,-0.0220741581
0.001545,-0.209594,-9.794812,0.222173,-0.0081753776,-0.0089982365,-0.0231383833
0.002594,-0.221603,-9.792417,0.219771,-0.0092396028,-0.0111266868,-0.0231383833
0.003644,-0.216799,-9.792417,0.229378,-0.0092396028,-0.0111266868,-0.0231383833
0.004661,-0.211995,-9.794812,0.23178,-0.0081753776,-0.0100624617,-0.0242026084
0.005711,-0.219201,-9.792417,0.229378,-0.0071111525,-0.0079340114,-0.0242026084
0.00676,-0.211995,-9.794812,0.224574,-0.0081753776,-0.0089982365,-0.0231383833
0.007812,-0.202388,-9.797206,0.229378,-0.0103038279,-0.0100624617,-0.0220741581
0.008828,-0.202388,-9.792417,0.238985,-0.0113680531,-0.0111266868,-0.0231383833
0.009877,-0.211995,-9.794812,0.238985,-0.0113680531,-0.0089982365,-0.0231383833
0.010927,-0.216799,-9.801995,0.229378,-0.0092396028,-0.0089982365,-0.0242026084
0.011976,-0.209594,-9.790023,0.217369,-0.0092396028,-0.0079340114,-0.0220741581
0.012994,-0.192781,-9.797206,0.219771,-0.0092396028,-0.0079340114,-0.0231383833
0.014044,-0.192781,-9.806783,0.222173,-0.0081753776,-0.0079340114,-0.0242026084
0.015093,-0.20479,-9.801995,0.224574,-0.0081753776,-0.0079340114,-0.0242026084
0.016142,-0.211995,-9.797206,0.236583,-0.0092396028,-0.0079340114,-0.0242026084
0.017194,-0.20479,-9.801995,0.24619,-0.0092396028,-0.0079340114,-0.0220741581
0.01821,-0.202388,-9.797206,0.24619,-0.0092396028,-0.0089982365,-0.0231383833
0.019259,-0.202388,-9.792417,0.243788,-0.0092396028,-0.0079340114,-0.0242026084
0.020311,-0.207192,-9.794812,0.243788,-0.0092396028,-0.0079340114,-0.0242026084
0.021358,-0.214397,-9.7996,0.234181,-0.0092396028,-0.0068697862,-0.0242026084
0.022376,-0.221603,-9.797206,0.229378,-0.0103038279,-0.0079340114,-0.0242026084
0.023425,-0.226406,-9.787629,0.23178,-0.0103038279,-0.0079340114,-0.0242026084
0.024475,-0.219201,-9.78284,0.236583,-0.0103038279,-0.0079340114,-0.0231383833
0.025524,-0.20479,-9.785234,0.238985,-0.0092396028,-0.0100624617,-0.0231383833
0.026542,-0.199987,-9.790023,0.23178,-0.0081753776,-0.0100624617,-0.0231383833
0.027592,-0.211995,-9.794812,0.224574,-0.0081753776,-0.0100624617,-0.0220741581
0.028641,-0.219201,-9.794812,0.23178,-0.0103038279,-0.0089982365,-0.0231383833
0.029692,-0.216799,-9.790023,0.23178,-0.0113680531,-0.0079340114,-0.0231383833
0.030708,-0.211995,-9.778051,0.219771,-0.0103038279,-0.0089982365,-0.0231383833
0.031758,-0.216799,-9.780446,0.214967,-0.0092396028,-0.0100624617,-0.0220741581
0.032809,-0.214397,-9.790023,0.217369,-0.0092396028,-0.0089982365,-0.021009933
0.033857,-0.211995,-9.785234,0.217369,-0.0092396028,-0.0079340114,-0.0220741581
0.034906,-0.209594,-9.785234,0.214967,-0.0092396028,-0.0068697862,-0.0231383833
0.035924,-0.207192,-9.787629,0.212566,-0.0092396028,-0.0079340114,-0.0231383833
0.036973,-0.209594,-9.794812,0.222173,-0.0092396028,-0.0089982365,-0.0242026084
0.038023,-0.219201,-9.787629,0.217369,-0.0092396028,-0.0079340114,-0.0231383833
0.039072,-0.219201,-9.78284,0.224574,-0.0092396028,-0.0079340114,-0.0231383833
0.04009,-0.216799,-9.785234,0.24619,-0.0092396028,-0.0068697862,-0.0220741581
0.041139,-0.214397,-9.794812,0.243788,-0.0081753776,-0.0079340114,-0.0231383833
0.042192,-0.214397,-9.792417,0.229378,-0.0081753776,-0.0079340114,-0.0252668336
0.043238,-0.211995,-9.778051,0.229378,-0.0081753776,-0.0079340114,-0.0242026084
0.044256,-0.207192,-9.770868,0.226976,-0.0103038279,-0.0079340114,-0.0231383833
0.045306,-0.202388,-9.785234,0.217369,-0.0103038279,-0.0079340114,-0.0231383833
0.046355,-0.199987,-9.794812,0.212566,-0.0103038279,-0.0089982365,-0.0231383833
0.047405,-0.202388,-9.78284,0.217369,-0.0103038279,-0.0089982365,-0.0220741581
0.048454,-0.207192,-9.778051,0.229378,-0.0103038279,-0.0089982365,-0.0231383833
0.049472,-0.211995,-9.792417,0.234181,-0.0092396028,-0.0079340114,-0.0252668336
0.050522,-0.216799,-9.794812,0.238985,-0.0092396028,-0.0079340114,-0.0231383833
0.051572,-0.211995,-9.785234,0.23178,-0.0103038279,-0.0089982365,-0.021009933
0.052621,-0.207192,-9.785234,0.219771,-0.0092396028,-0.0111266868,-0.0220741581
0.053638,-0.211995,-9.785234,0.212566,-0.0092396028,-0.0089982365,-0.0231383833
0.05469,-0.214397,-9.78284,0.219771,-0.0103038279,-0.0068697862,-0.0242026084
0.055737,-0.209594,-9.792417,0.23178,-0.0103038279,-0.0058055611,-0.0242026084
