Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000172,-0.202388,-9.785234,0.207762,-0.0028542519,-0.0026128856,-0.0061107808
0.001479,-0.209594,-9.790023,0.202958,-0.003918477,-0.0026128856,-0.007175006
0.002497,-0.211995,-9.794812,0.212566,-0.003918477,-0.0036771108,-0.007175006
0.003547,-0.202388,-9.797206,0.219771,-0.003918477,-0.0026128856,-0.007175006
0.004597,-0.192781,-9.792417,0.219771,-0.003918477,-0.0026128856,-0.007175006
0.005646,-0.199987,-9.78284,0.214967,-0.0028542519,-0.0026128856,-0.0082392311
0.006663,-0.207192,-9.78284,0.214967,-0.003918477,-0.0015486604,-0.0082392311
0.007716,-0.197585,-9.794812,0.222173,-0.003918477,-0.0015486604,-0.0082392311
0.008763,-0.199987,-9.790023,0.214967,-0.0049827022,-0.0026128856,-0.007175006
0.009813,-0.20479,-9.78284,0.210164,-0.0049827022,-0.0036771108,-0.007175006
0.010862,-0.20479,-9.78284,0.212566,-0.003918477,-0.0036771108,-0.0082392311
0.01188,-0.209594,-9.792417,0.219771,-0.003918477,-0.0015486604,-0.0093034563
0.01293,-0.219201,-9.790023,0.219771,-0.003918477,-0.0026128856,-0.0082392311
0.01398,-0.219201,-9.778051,0.219771,-0.0028542519,-0.0036771108,-0.007175006
0.015029,-0.20479,-9.78284,0.219771,-0.0017900267,-0.0036771108,-0.007175006
0.016047,-0.197585,-9.794812,0.217369,-0.0028542519,-0.0036771108,-0.007175006
0.017097,-0.207192,-9.790023,0.212566,-0.0028542519,-0.0036771108,-0.0082392311
0.018146,-0.209594,-9.785234,0.207762,-0.003918477,-0.0036771108,-0.0093034563
0.019196,-0.202388,-9.787629,0.207762,-0.0049827022,-0.0036771108,-0.007175006
0.020216,-0.202388,-9.787629,0.224574,-0.003918477,-0.0036771108,-0.007175006
0.021264,-0.199987,-9.78284,0.23178,-0.0028542519,-0.0047413359,-0.0082392311
0.022313,-0.195183,-9.78284,0.214967,-0.0028542519,-0.0026128856,-0.007175006
0.023363,-0.199987,-9.787629,0.200557,-0.0028542519,-0.0015486604,-0.0061107808
0.024413,-0.207192,-9.801995,0.198155,-0.0017900267,-0.0036771108,-0.0061107808
0.02543,-0.207192,-9.809178,0.210164,-0.0028542519,-0.0047413359,-0.0082392311
0.02648,-0.207192,-9.806783,0.217369,-0.003918477,-0.0026128856,-0.0103676814
0.02753,-0.209594,-9.794812,0.210164,-0.0017900267,-0.0026128856,-0.0093034563
0.02858,-0.20479,-9.785234,0.212566,-0.0007258016,-0.0026128856,-0.0082392311
0.029597,-0.197585,-9.785234,0.217369,-0.0017900267,-0.0026128856,-0.007175006
0.030647,-0.202388,-9.778051,0.217369,-0.003918477,-0.0036771108,-0.007175006
