Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000145, -0.204790, -9.778051, 0.207762, 0.0173660261, 0.0090935911, 0.0204948480
0.000473, -0.202388, -9.785234, 0.207762, 0.0173660261, 0.0090935911, 0.0204948480
0.001389, -0.192781, -9.785234, 0.212566, 0.0184302512, 0.0122862666, 0.0194306229
0.002438, -0.202388, -9.773263, 0.219771, 0.0184302512, 0.0112220414, 0.0204948480
0.003456, -0.211995, -9.773263, 0.222173, 0.0184302512, 0.0101578162, 0.0204948480
0.004506, -0.202388, -9.787629, 0.219771, 0.0163018009, 0.0101578162, 0.0204948480
0.005556, -0.190380, -9.799600, 0.212566, 0.0152375758, 0.0112220414, 0.0215590732
0.006605, -0.187978, -9.794812, 0.212566, 0.0163018009, 0.0112220414, 0.0215590732
0.007623, -0.195183, -9.787629, 0.214967, 0.0152375758, 0.0101578162, 0.0204948480
0.008673, -0.202388, -9.787629, 0.207762, 0.0152375758, 0.0090935911, 0.0204948480
0.009723, -0.204790, -9.785234, 0.198155, 0.0152375758, 0.0090935911, 0.0215590732
0.010773, -0.211995, -9.787629, 0.200557, 0.0163018009, 0.0101578162, 0.0204948480
0.011792, -0.216799, -9.790023, 0.207762, 0.0173660261, 0.0090935911, 0.0194306229
0.012840, -0.216799, -9.780446, 0.207762, 0.0163018009, 0.0090935911, 0.0194306229
0.013890, -0.216799, -9.787629, 0.205360, 0.0163018009, 0.0101578162, 0.0204948480
0.014940, -0.216799, -9.794812, 0.212566, 0.0163018009, 0.0101578162, 0.0194306229
0.015989, -0.209594, -9.790023, 0.224574, 0.0163018009, 0.0101578162, 0.0194306229
0.017007, -0.204790, -9.787629, 0.222173, 0.0152375758, 0.0101578162, 0.0194306229
0.018058, -0.211995, -9.790023, 0.214967, 0.0152375758, 0.0090935911, 0.0204948480
0.019107, -0.224004, -9.794812, 0.217369, 0.0152375758, 0.0090935911, 0.0215590732
0.020159, -0.219201, -9.794812, 0.219771, 0.0152375758, 0.0101578162, 0.0204948480
0.021175, -0.209594, -9.782840, 0.217369, 0.0152375758, 0.0101578162, 0.0194306229
0.022224, -0.207192, -9.778051, 0.212566, 0.0152375758, 0.0101578162, 0.0194306229
0.023274, -0.202388, -9.790023, 0.219771, 0.0163018009, 0.0090935911, 0.0194306229
0.024324, -0.202388, -9.790023, 0.217369, 0.0152375758, 0.0090935911, 0.0194306229
0.025342, -0.207192, -9.794812, 0.226976, 0.0141733506, 0.0090935911, 0.0194306229
0.026391, -0.207192, -9.794812, 0.231780, 0.0141733506, 0.0090935911, 0.0194306229
0.027441, -0.197585, -9.794812, 0.229378, 0.0141733506, 0.0112220414, 0.0204948480
0.028491, -0.192781, -9.787629, 0.226976, 0.0152375758, 0.0122862666, 0.0215590732
0.029542, -0.197585, -9.787629, 0.222173, 0.0152375758, 0.0112220414, 0.0194306229
0.030558, -0.202388, -9.782840, 0.212566, 0.0141733506, 0.0090935911, 0.0183663977
0.031608, -0.209594, -9.773263, 0.212566, 0.0141733506, 0.0101578162, 0.0194306229
0.032660, -0.211995, -9.778051, 0.212566, 0.0141733506, 0.0112220414, 0.0204948480
0.033707, -0.204790, -9.797206, 0.214967, 0.0152375758, 0.0112220414, 0.0215590732
0.034726, -0.197585, -9.801995, 0.224574, 0.0152375758, 0.0101578162, 0.0204948480
0.035775, -0.199987, -9.790023, 0.229378, 0.0152375758, 0.0101578162, 0.0204948480
0.036825, -0.202388, -9.785234, 0.224574, 0.0141733506, 0.0122862666, 0.0204948480
0.037874, -0.199987, -9.787629, 0.219771, 0.0131091254, 0.0122862666, 0.0204948480
0.038893, -0.197585, -9.787629, 0.217369, 0.0120449003, 0.0112220414, 0.0204948480
0.039942, -0.202388, -9.790023, 0.212566, 0.0131091254, 0.0112220414, 0.0204948480
0.040992, -0.209594, -9.790023, 0.202958, 0.0131091254, 0.0112220414, 0.0204948480
0.042042, -0.211995, -9.804389, 0.207762, 0.0141733506, 0.0112220414, 0.0194306229
0.043091, -0.211995, -9.809178, 0.212566, 0.0141733506, 0.0112220414, 0.0204948480
0.044109, -0.202388, -9.787629, 0.210164, 0.0141733506, 0.0101578162, 0.0204948480
0.045162, -0.202388, -9.785234, 0.207762, 0.0131091254, 0.0101578162, 0.0204948480
0.046209, -0.202388, -9.799600, 0.210164, 0.0131091254, 0.0112220414, 0.0204948480
0.047258, -0.199987, -9.797206, 0.212566, 0.0141733506, 0.0112220414, 0.0204948480
0.048276, -0.202388, -9.794812, 0.210164, 0.0131091254, 0.0112220414, 0.0215590732
0.049326, -0.192781, -9.785234, 0.222173, 0.0152375758, 0.0090935911, 0.0194306229
0.050376, -0.197585, -9.780446, 0.222173, 0.0152375758, 0.0101578162, 0.0204948480
0.051425, -0.199987, -9.792417, 0.210164, 0.0141733506, 0.0122862666, 0.0215590732
0.052443, -0.199987, -9.809178, 0.207762, 0.0131091254, 0.0112220414, 0.0194306229
0.053493, -0.199987, -9.806783, 0.224574, 0.0131091254, 0.0101578162, 0.0194306229
0.054542, -0.202388, -9.794812, 0.222173, 0.0131091254, 0.0101578162, 0.0194306229
0.055593, -0.211995, -9.792417, 0.205360, 0.0120449003, 0.0101578162, 0.0204948480
0.056642, -0.202388, -9.790023, 0.207762, 0.0120449003, 0.0112220414, 0.0204948480
0.057662, -0.202388, -9.792417, 0.214967, 0.0120449003, 0.0112220414, 0.0204948480
0.058710, -0.211995, -9.801995, 0.212566, 0.0120449003, 0.0112220414, 0.0215590732
0.059760, -0.211995, -9.799600, 0.210164, 0.0120449003, 0.0112220414, 0.0215590732
0.060810, -0.209594, -9.794812, 0.214967, 0.0109806751, 0.0112220414, 0.0204948480
0.061827, -0.211995, -9.801995, 0.212566, 0.0109806751, 0.0101578162, 0.0204948480
0.062877, -0.204790, -9.804389, 0.205360, 0.0109806751, 0.0112220414, 0.0194306229
0.063927, -0.197585, -9.797206, 0.202958, 0.0120449003, 0.0122862666, 0.0194306229
0.064977, -0.202388, -9.797206, 0.214967, 0.0120449003, 0.0112220414, 0.0204948480
0.065994, -0.202388, -9.801995, 0.226976, 0.0120449003, 0.0112220414, 0.0215590732
0.067045, -0.202388, -9.797206, 0.222173, 0.0120449003, 0.0122862666, 0.0204948480
