Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000142,-0.19038,-9.794812,0.212566,0.0290725027,0.043148796,0.0694492051
0.00056,-0.19038,-9.794812,0.212566,0.0290725027,0.043148796,0.0694492051
0.001547,-0.195183,-9.797206,0.212566,0.0290725027,0.0442130212,0.0683849799
0.002594,-0.195183,-9.811572,0.226976,0.0280082776,0.0463414715,0.0673207548
0.003643,-0.185576,-9.804389,0.229378,0.0280082776,0.0452772463,0.0673207548
0.004693,-0.185576,-9.7996,0.226976,0.0290725027,0.043148796,0.0673207548
0.00571,-0.192781,-9.809178,0.219771,0.0290725027,0.043148796,0.0662565296
0.006759,-0.192781,-9.809178,0.214967,0.0280082776,0.0452772463,0.0662565296
0.007809,-0.192781,-9.7996,0.219771,0.0290725027,0.0452772463,0.0673207548
0.008858,-0.192781,-9.794812,0.229378,0.0280082776,0.0442130212,0.0673207548
0.009907,-0.192781,-9.7996,0.226976,0.0269440524,0.0442130212,0.0651923045
0.010925,-0.192781,-9.797206,0.219771,0.0280082776,0.0442130212,0.0651923045
0.011974,-0.20479,-9.7996,0.226976,0.0301367279,0.0442130212,0.0673207548
0.013023,-0.214397,-9.7996,0.229378,0.0312009531,0.0442130212,0.0662565296
0.014073,-0.211995,-9.794812,0.222173,0.0312009531,0.043148796,0.0662565296
0.01509,-0.199987,-9.801995,0.224574,0.0301367279,0.0442130212,0.0651923045
0.01614,-0.19038,-9.804389,0.224574,0.0290725027,0.0442130212,0.0662565296
0.017189,-0.185576,-9.806783,0.219771,0.0290725027,0.0442130212,0.0673207548
0.018238,-0.187978,-9.809178,0.219771,0.0301367279,0.0442130212,0.0673207548
0.019256,-0.192781,-9.7996,0.219771,0.0312009531,0.0442130212,0.0673207548
0.020305,-0.192781,-9.7996,0.212566,0.0312009531,0.0442130212,0.0662565296
0.021355,-0.192781,-9.811572,0.207762,0.0301367279,0.0463414715,0.0651923045
0.022404,-0.202388,-9.811572,0.214967,0.0301367279,0.0463414715,0.0662565296
0.023453,-0.211995,-9.794812,0.229378,0.0312009531,0.0442130212,0.0683849799
0.02447,-0.209594,-9.780446,0.229378,0.0312009531,0.043148796,0.0683849799
0.02552,-0.195183,-9.785234,0.219771,0.0312009531,0.043148796,0.0673207548
0.026569,-0.19038,-9.801995,0.219771,0.0322651782,0.0452772463,0.0673207548
0.027619,-0.192781,-9.809178,0.214967,0.0333294034,0.0452772463,0.0673207548
0.028636,-0.192781,-9.809178,0.217369,0.0333294034,0.0442130212,0.0673207548
0.029685,-0.199987,-9.801995,0.23178,0.0322651782,0.0442130212,0.0662565296
0.030734,-0.20479,-9.787629,0.234181,0.0333294034,0.0452772463,0.0673207548
0.031784,-0.20479,-9.78284,0.217369,0.0333294034,0.0442130212,0.0662565296
0.032801,-0.202388,-9.794812,0.212566,0.0322651782,0.043148796,0.0662565296
0.033851,-0.197585,-9.801995,0.219771,0.0322651782,0.0442130212,0.0673207548
0.0349,-0.19038,-9.7996,0.217369,0.0333294034,0.0442130212,0.0673207548
0.03595,-0.19038,-9.7996,0.202958,0.0333294034,0.0452772463,0.0673207548
0.036999,-0.195183,-9.794812,0.202958,0.0333294034,0.0452772463,0.0673207548
0.038016,-0.192781,-9.790023,0.210164,0.0343936285,0.043148796,0.0673207548
0.039066,-0.197585,-9.794812,0.207762,0.0333294034,0.0442130212,0.0662565296
0.040115,-0.197585,-9.794812,0.212566,0.0343936285,0.0452772463,0.0673207548
0.041166,-0.197585,-9.792417,0.214967,0.0365220788,0.0452772463,0.0683849799
0.042182,-0.202388,-9.794812,0.219771,0.0365220788,0.0452772463,0.0683849799
0.043231,-0.192781,-9.797206,0.222173,0.0365220788,0.0442130212,0.0673207548
