Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000255,-0.228808,-9.78284,0.214967,-0.0379736819,-0.0079340114,-0.0093034563
0.003863,-0.211995,-9.797206,0.229378,-0.0390379071,-0.0100624617,-0.0093034563
0.004913,-0.20479,-9.794812,0.238985,-0.0379736819,-0.0111266868,-0.0082392311
0.001763,-0.219201,-9.787629,0.212566,-0.0390379071,-0.0089982365,-0.007175006
0.00698,-0.202388,-9.797206,0.226976,-0.0379736819,-0.0089982365,-0.0082392311
0.008029,-0.20479,-9.785234,0.219771,-0.0390379071,-0.0079340114,-0.0082392311
0.00593,-0.202388,-9.794812,0.23178,-0.0379736819,-0.0100624617,-0.007175006
0.000905,-0.224004,-9.78284,0.217369,-0.0390379071,-0.0079340114,-0.0082392311
0.011146,-0.219201,-9.792417,0.214967,-0.0390379071,-0.0079340114,-0.0082392311
0.012196,-0.207192,-9.797206,0.23178,-0.0390379071,-0.0079340114,-0.0082392311
0.002813,-0.216799,-9.794812,0.212566,-0.0390379071,-0.0089982365,-0.0082392311
0.014295,-0.23121,-9.794812,0.214967,-0.0390379071,-0.0079340114,-0.007175006
0.015313,-0.228808,-9.78284,0.219771,-0.0390379071,-0.0079340114,-0.0082392311
0.013245,-0.216799,-9.794812,0.226976,-0.0390379071,-0.0089982365,-0.007175006
0.010131,-0.221603,-9.775657,0.202958,-0.0401021322,-0.0079340114,-0.007175006
0.018462,-0.216799,-9.794812,0.202958,-0.0401021322,-0.0079340114,-0.007175006
0.01948,-0.20479,-9.790023,0.212566,-0.0379736819,-0.0079340114,-0.0093034563
0.017412,-0.226406,-9.790023,0.207762,-0.0390379071,-0.0068697862,-0.0082392311
0.009079,-0.211995,-9.770868,0.210164,-0.0401021322,-0.0079340114,-0.007175006
0.016363,-0.221603,-9.778051,0.219771,-0.0390379071,-0.0068697862,-0.0082392311
0.020529,-0.20479,-9.790023,0.219771,-0.0379736819,-0.0079340114,-0.0093034563
