Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000235,-0.211995,-9.794812,0.217369,0.0024668739,0.0080293659,0.006659921
0.001229,-0.211995,-9.785234,0.217369,0.0024668739,0.0069651408,0.0077241462
0.002281,-0.207192,-9.778051,0.212566,0.0014026488,0.0069651408,0.0077241462
0.003329,-0.202388,-9.785234,0.212566,0.0014026488,0.0080293659,0.006659921
0.004346,-0.199987,-9.785234,0.217369,0.0014026488,0.0080293659,0.0055956959
0.005397,-0.20479,-9.778051,0.219771,0.0024668739,0.0080293659,0.0055956959
0.006446,-0.211995,-9.790023,0.214967,0.0024668739,0.0101578162,0.0055956959
0.007496,-0.20479,-9.797206,0.212566,0.0024668739,0.0101578162,0.0077241462
0.008514,-0.202388,-9.787629,0.217369,0.0024668739,0.0080293659,0.006659921
0.009564,-0.20479,-9.785234,0.219771,0.0024668739,0.0080293659,0.0055956959
0.010614,-0.20479,-9.792417,0.222173,0.0014026488,0.0080293659,0.006659921
0.011663,-0.202388,-9.785234,0.229378,0.0014026488,0.0069651408,0.006659921
0.012682,-0.202388,-9.780446,0.224574,0.0014026488,0.0080293659,0.006659921
0.013731,-0.20479,-9.794812,0.224574,0.0014026488,0.0101578162,0.0077241462
0.014784,-0.209594,-9.797206,0.229378,0.0014026488,0.0112220414,0.006659921
0.015831,-0.211995,-9.785234,0.229378,0.0024668739,0.0101578162,0.0055956959
0.016881,-0.211995,-9.780446,0.222173,0.0024668739,0.0090935911,0.006659921
0.017899,-0.211995,-9.780446,0.224574,0.0024668739,0.0069651408,0.0077241462
0.018949,-0.207192,-9.797206,0.222173,0.0014026488,0.0080293659,0.006659921
0.019999,-0.202388,-9.794812,0.219771,0.0003384236,0.0101578162,0.006659921
0.021049,-0.20479,-9.794812,0.212566,0.0014026488,0.0101578162,0.0055956959
0.022067,-0.207192,-9.794812,0.217369,0.0024668739,0.0090935911,0.0045314707
0.023117,-0.20479,-9.785234,0.219771,0.0024668739,0.0090935911,0.0055956959
0.024166,-0.199987,-9.785234,0.210164,0.0024668739,0.0090935911,0.0055956959
0.025217,-0.197585,-9.790023,0.20536,0.0014026488,0.0090935911,0.0055956959
0.026234,-0.202388,-9.794812,0.214967,0.0024668739,0.0090935911,0.0055956959
0.027287,-0.195183,-9.794812,0.224574,0.0014026488,0.0090935911,0.0055956959
0.028334,-0.19038,-9.787629,0.229378,0.0014026488,0.0090935911,0.0055956959
0.029384,-0.197585,-9.787629,0.226976,0.0014026488,0.0090935911,0.0055956959
0.030434,-0.202388,-9.797206,0.229378,0.0003384236,0.0080293659,0.0045314707
0.031452,-0.20479,-9.794812,0.243788,0.0003384236,0.0069651408,0.0055956959
0.032502,-0.211995,-9.780446,0.234181,0.0014026488,0.0069651408,0.006659921
0.033552,-0.211995,-9.778051,0.219771,0.0014026488,0.0080293659,0.006659921
0.034602,-0.211995,-9.792417,0.219771,0.0014026488,0.0090935911,0.0055956959
0.03562,-0.214397,-9.794812,0.224574,0.0014026488,0.0080293659,0.0045314707
0.03667,-0.209594,-9.790023,0.224574,0.0003384236,0.0080293659,0.0055956959
0.03772,-0.202388,-9.790023,0.222173,0.0003384236,0.0090935911,0.006659921
0.038769,-0.20479,-9.785234,0.219771,0.0003384236,0.0080293659,0.0055956959
0.039788,-0.20479,-9.787629,0.217369,0.0003384236,0.0080293659,0.0045314707
0.040837,-0.211995,-9.797206,0.212566,0.0014026488,0.0080293659,0.0045314707
0.041887,-0.211995,-9.792417,0.210164,0.0014026488,0.0080293659,0.0055956959
0.042937,-0.211995,-9.790023,0.210164,0.0003384236,0.0080293659,0.0055956959
0.043955,-0.211995,-9.794812,0.212566,0.0003384236,0.0069651408,0.0045314707
0.045005,-0.219201,-9.787629,0.20536,0.0024668739,0.0069651408,0.0045314707
0.046055,-0.216799,-9.794812,0.198155,0.0014026488,0.0059009156,0.0045314707
0.047105,-0.207192,-9.794812,0.200557,0.0003384236,0.0069651408,0.0045314707
0.048157,-0.20479,-9.794812,0.217369,-0.0007258016,0.0080293659,0.0055956959
0.049173,-0.20479,-9.790023,0.226976,-0.0007258016,0.0090935911,0.0055956959
0.050223,-0.199987,-9.792417,0.224574,0.0014026488,0.0090935911,0.0045314707
0.051273,-0.192781,-9.797206,0.222173,0.0014026488,0.0069651408,0.0034672456
0.052323,-0.192781,-9.787629,0.212566,0.0024668739,0.0048366905,0.0034672456
0.05334,-0.207192,-9.773263,0.210164,0.0014026488,0.0069651408,0.0034672456
0.05439,-0.214397,-9.775657,0.217369,0.0003384236,0.0101578162,0.0045314707
