Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000164,-0.214397,-9.797206,0.229378,-0.0156249537,0.001644015,-0.0007896551
0.000939,-0.209594,-9.794812,0.248592,-0.0156249537,0.0005797899,-0.0007896551
0.001986,-0.192781,-9.787629,0.258199,-0.0156249537,0.001644015,-0.0029181054
0.003035,-0.195183,-9.794812,0.24619,-0.0156249537,0.0027082402,-0.0029181054
0.004085,-0.20479,-9.792417,0.226976,-0.0145607286,0.0005797899,-0.0029181054
0.005102,-0.20479,-9.78284,0.212566,-0.0145607286,-0.0004844353,-0.0029181054
0.006152,-0.209594,-9.792417,0.207762,-0.0156249537,0.001644015,-0.0029181054
0.007201,-0.214397,-9.804389,0.212566,-0.0156249537,0.001644015,-0.0029181054
0.00825,-0.209594,-9.794812,0.219771,-0.0156249537,0.001644015,-0.0029181054
0.0093,-0.20479,-9.780446,0.219771,-0.0145607286,0.001644015,-0.0018538802
0.01032,-0.211995,-9.785234,0.212566,-0.0145607286,0.0005797899,-0.0007896551
0.011367,-0.207192,-9.780446,0.229378,-0.0145607286,0.0005797899,-0.0018538802
0.012416,-0.199987,-9.778051,0.234181,-0.0145607286,0.0005797899,-0.0018538802
0.014483,-0.211995,-9.790023,0.236583,-0.0166891789,0.001644015,-0.0029181054
0.013465,-0.20479,-9.778051,0.234181,-0.0166891789,0.001644015,-0.0029181054
0.015533,-0.209594,-9.7996,0.236583,-0.0156249537,0.001644015,-0.0029181054
0.016582,-0.207192,-9.792417,0.229378,-0.0156249537,0.0005797899,-0.0029181054
0.017631,-0.209594,-9.785234,0.217369,-0.0145607286,0.0005797899,-0.0029181054
0.018649,-0.209594,-9.787629,0.222173,-0.0156249537,0.0005797899,-0.0029181054
0.019699,-0.211995,-9.797206,0.241387,-0.0156249537,0.0005797899,-0.0018538802
0.020748,-0.20479,-9.801995,0.241387,-0.0156249537,0.001644015,-0.0018538802
0.021797,-0.202388,-9.797206,0.229378,-0.0156249537,0.0005797899,-0.0018538802
0.022847,-0.219201,-9.785234,0.229378,-0.0156249537,0.0005797899,-0.0018538802
0.023864,-0.224004,-9.78284,0.229378,-0.0145607286,0.001644015,-0.0029181054
0.024914,-0.216799,-9.794812,0.229378,-0.0166891789,0.001644015,-0.0029181054
0.025964,-0.211995,-9.801995,0.238985,-0.0166891789,0.001644015,-0.0029181054
0.027013,-0.20479,-9.794812,0.24619,-0.0145607286,0.0027082402,-0.0029181054
0.02803,-0.202388,-9.785234,0.243788,-0.0145607286,0.0027082402,-0.0029181054
0.02908,-0.202388,-9.780446,0.236583,-0.0145607286,0.0005797899,-0.0029181054
0.030129,-0.20479,-9.780446,0.229378,-0.0145607286,0.0005797899,-0.0029181054
0.031179,-0.202388,-9.778051,0.229378,-0.0145607286,0.001644015,-0.0029181054
0.032199,-0.20479,-9.78284,0.226976,-0.0156249537,0.001644015,-0.0029181054
0.033246,-0.202388,-9.790023,0.224574,-0.0156249537,0.0005797899,-0.0029181054
0.034295,-0.197585,-9.787629,0.226976,-0.0156249537,-0.0004844353,-0.0039823305
0.035345,-0.202388,-9.785234,0.222173,-0.0156249537,-0.0015486604,-0.0039823305
0.036362,-0.207192,-9.792417,0.217369,-0.0156249537,0.0005797899,-0.0029181054
0.037412,-0.209594,-9.785234,0.226976,-0.0145607286,0.0005797899,-0.0039823305
0.038461,-0.214397,-9.78284,0.229378,-0.0134965034,-0.0004844353,-0.0039823305
0.03951,-0.211995,-9.78284,0.219771,-0.0134965034,-0.0004844353,-0.0039823305
0.04056,-0.209594,-9.787629,0.219771,-0.0145607286,0.001644015,-0.0039823305
0.041578,-0.207192,-9.794812,0.226976,-0.0145607286,0.001644015,-0.0039823305
0.042627,-0.202388,-9.792417,0.219771,-0.0145607286,0.0005797899,-0.0039823305
0.043677,-0.202388,-9.792417,0.214967,-0.0156249537,0.0005797899,-0.0029181054
0.044726,-0.211995,-9.794812,0.229378,-0.0156249537,0.001644015,-0.0029181054
0.045744,-0.219201,-9.797206,0.243788,-0.0156249537,0.001644015,-0.0039823305
0.046793,-0.209594,-9.7996,0.236583,-0.0156249537,0.001644015,-0.0039823305
0.047843,-0.199987,-9.794812,0.229378,-0.0156249537,0.0005797899,-0.0039823305
0.048892,-0.202388,-9.78284,0.226976,-0.0156249537,0.001644015,-0.0050465557
0.04991,-0.211995,-9.785234,0.214967,-0.0166891789,0.0027082402,-0.0050465557
0.050959,-0.216799,-9.787629,0.217369,-0.0166891789,0.0027082402,-0.0029181054
0.052009,-0.214397,-9.785234,0.229378,-0.0156249537,0.001644015,-0.0029181054
0.053058,-0.211995,-9.785234,0.226976,-0.0156249537,0.0027082402,-0.0039823305
0.054107,-0.209594,-9.780446,0.222173,-0.0156249537,0.001644015,-0.0050465557
0.055125,-0.202388,-9.778051,0.226976,-0.0156249537,0.0005797899,-0.0050465557
0.056174,-0.20479,-9.792417,0.226976,-0.0156249537,-0.0004844353,-0.0050465557
0.057224,-0.211995,-9.7996,0.222173,-0.0156249537,0.0005797899,-0.0050465557
0.058273,-0.224004,-9.790023,0.224574,-0.0166891789,0.0005797899,-0.0050465557
0.059291,-0.228808,-9.785234,0.219771,-0.0166891789,-0.0004844353,-0.0050465557
0.06034,-0.221603,-9.785234,0.214967,-0.0156249537,-0.0004844353,-0.0039823305
0.06139,-0.202388,-9.785234,0.222173,-0.0156249537,-0.0004844353,-0.0039823305
0.062442,-0.199987,-9.794812,0.243788,-0.0166891789,0.001644015,-0.0050465557
0.063456,-0.211995,-9.794812,0.238985,-0.0166891789,0.0005797899,-0.0039823305
0.064506,-0.221603,-9.7996,0.236583,-0.0156249537,0.0005797899,-0.0018538802
0.065555,-0.219201,-9.811572,0.226976,-0.0156249537,0.0005797899,-0.0029181054
0.066605,-0.214397,-9.85467,0.222173,-0.0166891789,0.0005797899,-0.0039823305
0.067654,-0.207192,-9.93129,0.226976,-0.0156249537,0.0005797899,-0.0061107808
0.068672,-0.173567,-9.897769,0.224574,-0.0156249537,0.001644015,-0.0050465557
0.069721,-0.151951,-9.737347,0.210164,-0.0156249537,0.0069651408,-0.0029181054
0.07077,-0.175969,-9.751713,0.152521,-0.0156249537,0.0144147169,-0.0018538802
0.071823,-0.168764,-9.758896,0.10929,-0.0156249537,0.0261211936,-0.0029181054
0.072838,-0.185576,-9.572137,0.066058,-0.0166891789,0.0346349948,-0.0061107808
0.073887,-0.288852,-9.629602,0.010818,-0.0134965034,0.0378276702,-0.0061107808
0.074939,-0.404136,-9.768474,0.06846,-0.0081753776,0.0388918954,-0.0050465557
0.077004,-0.466582,-10.036641,0.010818,-0.0049827022,0.0090935911,-0.0029181054
0.078053,-0.524225,-10.369455,0.265404,-0.0028542519,-0.0047413359,-0.0029181054
0.075986,-0.440163,-9.6727,0.051647,-0.0049827022,0.0282496439,-0.0029181054
0.079103,-0.240817,-9.325519,0.459947,-0.0017900267,-0.0196404881,-0.0061107808
0.080152,0.109841,-8.90172,0.517589,-0.0134965034,-0.0451818917,-0.0061107808
0.081201,0.066609,-10.321568,0.745757,-0.0294598807,-0.0632737194,0.0034672456
0.082219,0.059404,-10.570581,0.743355,-0.0326525562,-0.0622094942,0.0077241462
0.083269,0.186697,-9.519462,0.349466,-0.031588331,-0.0600810439,-0.0029181054
0.08432,0.446087,-9.581715,0.303832,-0.0411663574,-0.0568883684,-0.0146245821
0.085368,0.772727,-9.725376,0.556018,-0.0432948077,-0.0249616138,-0.0135603569
0.086385,0.51814,-9.229745,0.301431,-0.0283956555,0.0133504917,-0.0029181054
0.087435,-0.060684,-9.557771,0.135709,-0.0198818543,0.0208000678,0.0024030204
0.088484,-0.718767,-10.697481,-0.166913,0.0088522248,0.0303780942,-0.0061107808
0.089534,-1.251959,-10.367061,0.066058,0.0173660261,0.0261211936,-0.0103676814
0.090551,-1.314404,-9.921712,0.387894,0.0141733506,-0.0004844353,-0.0103676814
0.09265,-0.819641,-8.980733,1.086807,-0.0103038279,-0.0462461169,-0.0082392311
0.0916,-1.009381,-9.52425,0.575232,0.0045953242,-0.0238973887,-0.0103676814
0.093699,-0.447368,-8.75327,1.026763,-0.0337167813,-0.0664663948,-0.0061107808
0.094749,0.059404,-9.169887,0.644883,-0.0539370592,-0.0590168187,-0.0039823305
0.095766,0.064207,-9.785234,0.219771,-0.0624508605,-0.0207047132,-0.0029181054
0.096818,-0.125532,-10.094105,-0.565605,-0.0645793108,0.0208000678,-0.0082392311
0.097865,-0.046274,-10.118049,-0.764952,-0.0550012844,0.0516625972,-0.0178172575
0.098915,0.04019,-10.314385,-0.714515,-0.0326525562,0.0686901997,-0.0220741581
0.099932,0.028181,-10.49875,-0.824996,-0.0103038279,0.0729471003,-0.0220741581
0.100982,0.032984,-9.873825,-0.366259,0.0035310991,0.0676259745,-0.0188814827
0.102031,-0.065488,-9.184253,0.212566,0.0173660261,0.0495341469,-0.0124961318
0.10308,-0.382521,-9.890586,0.589642,0.0301367279,0.0261211936,-0.0039823305
0.104098,-0.543439,-10.350301,0.594446,0.0333294034,0.0112220414,0.0002745701
0.105148,-0.394529,-9.253689,0.092477,0.0173660261,0.0037724653,-0.0039823305
0.106199,-0.380119,-8.913691,0.070862,-0.0092396028,-0.0036771108,-0.0103676814
0.108264,0.011368,-9.220168,0.255797,-0.0496801586,0.0069651408,-0.0093034563
0.109316,-0.034265,-9.126788,0.481563,-0.0518086089,0.0080293659,-0.0082392311
0.107246,-0.308066,-9.555377,0.306234,-0.0326525562,-0.0058055611,-0.0114319066
0.110363,-0.132737,-10.182696,0.623267,-0.0422305825,-0.0132551371,-0.0061107808
0.111412,0.102635,-10.654383,0.395099,-0.0241387549,-0.0249616138,-0.0050465557
0.112462,0.078618,-10.26171,0.282217,-0.0007258016,-0.0217689384,-0.0061107808
0.113479,-0.106318,-10.237766,0.332654,0.0131091254,-0.0175120377,-0.0103676814
0.114529,-0.048676,-9.557771,0.443135,0.0109806751,0.0271854187,-0.0082392311
0.115578,-0.344092,-9.102845,0.476759,0.0035310991,0.0410203457,-0.0135603569
0.116627,-0.502609,-9.476363,0.702525,-0.0092396028,0.029313869,-0.0124961318
0.117645,-0.363307,-8.995099,0.35427,-0.0156249537,0.0186716175,-0.0093034563
0.118697,-0.649116,-9.078901,0.058853,-0.0209460795,0.0005797899,-0.0114319066
0.119744,-0.824445,-10.161147,-0.080449,-0.0273314304,-0.0228331635,-0.0114319066
0.120794,-0.579465,-9.998331,-0.335036,-0.0262672052,-0.0228331635,-0.0124961318
0.121811,-0.529028,-9.715798,-0.332634,-0.0252029801,-0.0111266868,-0.0178172575
0.122861,-0.320075,-10.527482,-0.409491,-0.0294598807,0.0027082402,-0.0199457078
0.12391,0.016172,-10.38861,-0.070842,-0.0230745298,0.029313869,-0.0167530324
0.124959,0.102635,-9.600869,0.363877,-0.0103038279,0.0410203457,-0.0167530324
0.126009,0.345213,-9.725376,0.503179,-0.0071111525,0.029313869,-0.0167530324
0.127026,0.479712,-9.742136,0.796194,-0.0028542519,0.0250569684,-0.0124961318
0.128077,0.239536,-9.220168,0.635276,0.0014026488,0.0250569684,-0.0061107808
0.129125,0.011368,-9.270449,0.356671,-0.0060469273,0.0197358426,-0.0007896551
0.130174,-0.192781,-9.749319,0.265404,-0.0188176292,0.0165431672,0.0013387952
0.131194,-0.382521,-9.790023,0.063656,-0.0262672052,0.0197358426,-0.0029181054
0.132242,-0.507412,-9.701432,0.195753,-0.0283956555,0.0271854187,-0.0114319066
0.133291,-0.536233,-9.785234,0.414314,-0.0198818543,0.0346349948,-0.0156888072
0.13434,-0.61309,-10.062979,0.419117,-0.0028542519,0.0442130212,-0.0146245821
0.135358,-0.716366,-10.321568,0.438331,0.0120449003,0.0505983721,-0.0124961318
0.136408,-0.589072,-9.85467,0.140513,0.0194944764,0.0495341469,-0.0114319066
0.137457,-0.512216,-9.483546,-0.190931,0.0131091254,0.0452772463,-0.0114319066
0.138506,-0.377717,-9.976782,-0.133288,-0.0007258016,0.0367634451,-0.0103676814
0.139555,0.042591,-9.756502,-0.311019,-0.0188176292,0.0399561205,-0.0124961318
0.140575,0.198706,-9.114817,-0.277394,-0.0369094568,0.0463414715,-0.0114319066
0.141623,0.369231,-10.319174,-0.174118,-0.0252029801,0.0463414715,-0.0018538802
0.142672,0.424471,-10.350301,-0.27259,-0.0028542519,0.0505983721,0.0055956959
0.143721,0.225125,-9.761291,-0.207743,0.0109806751,0.0410203457,0.0087883713
0.144739,0.251545,-10.146781,0.078067,0.0141733506,0.0303780942,0.0087883713
0.145788,0.388445,-10.395793,0.447938,0.0184302512,0.0495341469,0.0109168216
0.146838,0.186697,-9.512279,0.678507,0.0184302512,0.0697544249,0.0151737222
0.147887,-0.173567,-9.488335,0.937898,0.00991645,0.0527268224,0.0162379474
0.148905,-0.173567,-10.106077,1.190083,-0.0017900267,0.0250569684,0.0173021725
0.149955,-0.055881,-9.481152,0.959514,-0.0017900267,0.0261211936,0.0141094971
0.151004,-0.238415,-9.169887,0.649686,-0.0028542519,0.0239927432,0.0087883713
0.152053,-0.142344,-9.981571,0.589642,-0.0156249537,0.0037724653,0.0055956959
0.153103,0.13626,-9.763685,0.28702,-0.0198818543,0.0005797899,0.006659921
0.15412,-0.19038,-9.351857,-0.001191,-0.0124322782,0.0122862666,0.0087883713
0.15517,-0.480993,-10.448469,0.092477,-0.0092396028,-0.0004844353,0.0077241462
0.156219,-0.111121,-10.786072,0.049246,-0.003918477,-0.0175120377,0.0055956959
0.157269,-0.0823,-9.488335,-0.073244,0.0077879997,-0.0185762629,0.0034672456
0.158287,-0.370512,-9.227351,-0.010798,0.0109806751,-0.0292185144,0.0045314707
0.159336,0.001761,-10.098894,0.080469,0.0077879997,-0.0324111899,0.0109168216
0.160385,0.148269,-9.651151,0.1237,0.0077879997,-0.0132551371,0.0162379474
0.161434,-0.392128,-9.045381,-0.025209,-0.0017900267,-0.012190912,0.0173021725
0.162452,-0.44977,-9.849882,0.116495,-0.0166891789,-0.0217689384,0.0141094971
0.163502,-0.250424,-9.897769,0.308636,-0.0156249537,-0.0015486604,0.0141094971
0.164551,-0.639509,-9.631996,0.116495,-0.0081753776,0.0176073923,0.0141094971
0.1656,-0.699553,-10.280864,0.318243,-0.0113680531,0.0112220414,0.0098525965
0.166618,-0.303262,-9.739742,0.349466,0.0014026488,0.0516625972,0.0077241462
0.167667,-0.742785,-10.256921,0.721739,-0.0028542519,0.0548552727,0.0045314707
0.168716,-0.44977,-9.481152,0.721739,-0.0092396028,0.0452772463,0.0002745701
0.169766,-0.526626,-9.268055,0.77698,-0.0060469273,0.0452772463,-0.0018538802
0.170818,-0.884489,-9.83791,0.959514,-0.0081753776,0.0314423193,-0.0029181054
0.171833,-0.54584,-9.667911,0.563223,-0.0188176292,0.0090935911,-0.007175006
0.172882,-0.356101,-9.715798,0.558419,-0.0230745298,0.0027082402,-0.0114319066
0.173932,-0.502609,-9.96481,0.443135,-0.0273314304,0.0027082402,-0.0135603569
0.174981,-0.228808,-9.699038,0.241387,-0.0326525562,0.0059009156,-0.0167530324
0.175999,-0.043872,-9.711009,0.366278,-0.0273314304,0.0197358426,-0.0167530324
0.177048,-0.156755,-10.010303,0.299029,-0.0198818543,0.0367634451,-0.0135603569
0.178098,-0.236013,-9.734953,0.255797,-0.0134965034,0.0580479482,-0.0135603569
0.179147,-0.404136,-9.459603,0.126102,-0.0081753776,0.0793324512,-0.0146245821
0.180165,-0.565055,-9.629602,0.138111,-0.0092396028,0.0910389279,-0.0156888072
0.181214,-0.468984,-9.52425,0.126102,-0.0156249537,0.0942316034,-0.0199457078
0.182263,-0.221603,-9.179464,-0.020405,-0.0220103046,0.098488504,-0.0199457078
0.183315,-0.187978,-9.557771,0.006014,-0.0241387549,0.1027454046,-0.0135603569
0.184362,-0.211995,-10.213823,-0.034816,-0.0220103046,0.1091307555,-0.0061107808
0.18538,-0.142344,-10.153964,-0.320626,-0.0156249537,0.1293510335,-0.0039823305
0.186429,-0.28645,-10.264104,-0.628051,-0.0103038279,0.1516997617,-0.0093034563
0.187479,-0.382521,-10.161147,-0.455124,-0.0060469273,0.1687273641,-0.0167530324
0.188528,-0.183174,-8.980733,-0.697702,0.0045953242,0.1836265163,-0.0220741581
0.189546,-0.139943,-8.573694,-0.901852,0.0131091254,0.1825622911,-0.0242026084
0.190595,-0.257629,-9.368618,-0.289403,0.0269440524,0.1548924371,-0.0188814827
0.191644,-0.267236,-10.012697,-0.061235,0.0397147543,0.1165803316,-0.0114319066
0.192696,-0.836454,-10.563398,0.623267,0.0301367279,0.0208000678,-0.0188814827
0.193712,-0.512216,-10.086922,0.522393,0.0056595494,-0.0100624617,-0.0305879594
0.194761,-0.14955,-9.023831,0.664097,-0.0220103046,0.0048366905,-0.0337806348
0.19581,-0.120729,-8.444399,0.865845,-0.0401021322,0.0335707696,-0.0295237342
0.19686,-0.12313,-9.007071,0.964317,-0.0411663574,0.0537910475,-0.0263310588
0.197909,-0.10872,-10.187485,0.616062,-0.0241387549,0.0676259745,-0.0231383833
0.198927,-0.207192,-10.956071,0.332654,0.0035310991,0.0676259745,-0.0231383833
0.199976,-0.348896,-10.596918,0.385492,0.0205587015,0.0367634451,-0.0295237342
0.201025,-0.156755,-9.711009,0.323047,0.0152375758,0.0059009156,-0.0337806348
0.202075,0.141064,-9.016648,0.40951,0.0014026488,0.0208000678,-0.0242026084
0.203092,0.131456,-8.434822,0.70973,-0.0134965034,0.0591121733,-0.0082392311
0.204141,0.181894,-8.691017,1.106021,-0.0188176292,0.0740113255,0.0055956959
0.205193,0.698272,-9.842699,0.544009,-0.0113680531,0.0952958285,0.0141094971
0.20624,1.111375,-10.929733,-0.88504,-0.0103038279,0.1591493378,0.0141094971
0.207257,0.508533,-11.513954,-1.110805,-0.0092396028,0.2155532709,0.0002745701
0.208307,-0.296057,-10.996775,-0.433508,0.0035310991,0.1963972181,-0.0146245821
0.209357,-0.192781,-9.45242,-0.587221,0.023751377,0.1485070862,-0.0156888072
0.210406,0.124251,-7.972712,-1.372597,0.0301367279,0.1442501856,-0.0029181054
0.211455,0.107439,-7.510603,-1.098797,0.0152375758,0.1495713114,0.0119810468
0.212473,-0.132737,-9.208196,0.404707,0.0120449003,0.0952958285,0.0279444241
0.213522,-0.296057,-12.052682,1.420652,0.0333294034,0.0037724653,0.0407151259
0.214574,-0.034265,-12.270568,0.966719,0.0429074297,-0.0473103421,0.0332655499
0.215621,-0.070292,-10.288047,0.678507,0.0120449003,-0.0324111899,0.0077241462
0.216638,-0.713964,-9.435659,1.790523,-0.0326525562,0.0005797899,-0.0114319066
0.21769,-0.966149,-8.896931,2.261269,-0.0656435359,0.0250569684,-0.0167530324
0.218737,-0.310468,-9.284815,2.246858,-0.0720288868,0.0442130212,-0.0039823305
0.219786,-0.255227,-11.818036,1.341394,-0.0390379071,0.0271854187,-0.0018538802
0.220804,-0.197585,-12.047894,0.435929,-0.0071111525,0.0335707696,-0.0135603569
0.221853,-0.305664,-9.165098,0.500777,0.0109806751,0.0591121733,-0.0305879594
0.222903,-0.584269,-7.223281,0.202958,0.0077879997,0.0750755506,-0.0369733103
0.223953,-0.69475,-8.662285,-0.020405,-0.017753404,0.0867820273,-0.0199457078
