Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.00017,-0.207192,-9.778051,0.23178,-0.0049827022,-0.0015486604,0.006659921
0.001079,-0.209594,-9.785234,0.212566,-0.0060469273,-0.0015486604,0.006659921
0.002126,-0.211995,-9.790023,0.212566,-0.0060469273,-0.0015486604,0.0055956959
0.003143,-0.20479,-9.794812,0.222173,-0.0049827022,-0.0015486604,0.0055956959
0.004195,-0.202388,-9.801995,0.222173,-0.0060469273,-0.0026128856,0.006659921
0.005242,-0.209594,-9.804389,0.229378,-0.0060469273,-0.0058055611,0.0055956959
0.006291,-0.216799,-9.801995,0.222173,-0.0049827022,-0.0036771108,0.0045314707
0.00731,-0.20479,-9.804389,0.217369,-0.0060469273,-0.0036771108,0.0055956959
0.008359,-0.202388,-9.806783,0.222173,-0.0060469273,-0.0036771108,0.0055956959
0.009408,-0.211995,-9.811572,0.226976,-0.0071111525,-0.0015486604,0.0055956959
0.010458,-0.211995,-9.811572,0.229378,-0.0071111525,-0.0026128856,0.0055956959
0.011507,-0.207192,-9.816361,0.236583,-0.0060469273,-0.0047413359,0.0055956959
0.012525,-0.20479,-9.818755,0.236583,-0.0060469273,-0.0036771108,0.0055956959
0.013577,-0.209594,-9.806783,0.23178,-0.0060469273,-0.0015486604,0.0055956959
0.014624,-0.219201,-9.797206,0.229378,-0.0071111525,-0.0026128856,0.0045314707
0.015673,-0.224004,-9.804389,0.222173,-0.0071111525,-0.0036771108,0.0045314707
0.016694,-0.216799,-9.813966,0.217369,-0.0071111525,-0.0026128856,0.0045314707
0.017741,-0.211995,-9.811572,0.226976,-0.0081753776,-0.0004844353,0.0055956959
0.01879,-0.216799,-9.809178,0.236583,-0.0081753776,-0.0015486604,0.0055956959
0.01984,-0.216799,-9.806783,0.23178,-0.0081753776,-0.0026128856,0.0055956959
0.020857,-0.214397,-9.801995,0.226976,-0.0092396028,-0.0015486604,0.0045314707
0.021907,-0.211995,-9.801995,0.219771,-0.0081753776,-0.0015486604,0.0045314707
0.022956,-0.209594,-9.813966,0.222173,-0.0081753776,-0.0026128856,0.0055956959
0.024006,-0.202388,-9.82115,0.23178,-0.0071111525,-0.0036771108,0.006659921
0.025055,-0.199987,-9.818755,0.23178,-0.0071111525,-0.0036771108,0.006659921
0.026076,-0.209594,-9.816361,0.219771,-0.0092396028,-0.0026128856,0.006659921
0.027123,-0.209594,-9.811572,0.217369,-0.0092396028,-0.0026128856,0.0055956959
0.028172,-0.202388,-9.809178,0.219771,-0.0081753776,-0.0026128856,0.0055956959
0.029222,-0.20479,-9.818755,0.222173,-0.0092396028,-0.0026128856,0.0045314707
0.030239,-0.20479,-9.818755,0.229378,-0.0092396028,-0.0026128856,0.006659921
0.031289,-0.195183,-9.816361,0.229378,-0.0092396028,-0.0026128856,0.0077241462
0.032339,-0.197585,-9.806783,0.229378,-0.0092396028,-0.0047413359,0.0045314707
0.033388,-0.20479,-9.804389,0.236583,-0.0092396028,-0.0026128856,0.0034672456
0.034406,-0.211995,-9.804389,0.23178,-0.0113680531,-0.0004844353,0.0055956959
0.035456,-0.209594,-9.804389,0.234181,-0.0113680531,-0.0015486604,0.006659921
0.036505,-0.202388,-9.809178,0.229378,-0.0113680531,-0.0036771108,0.0055956959
0.037554,-0.202388,-9.804389,0.224574,-0.0124322782,-0.0026128856,0.0055956959
0.038603,-0.211995,-9.804389,0.229378,-0.0124322782,-0.0004844353,0.0055956959
0.039621,-0.209594,-9.811572,0.229378,-0.0113680531,-0.0004844353,0.0055956959
0.040671,-0.192781,-9.811572,0.236583,-0.0113680531,-0.0015486604,0.0055956959
0.04172,-0.19038,-9.7996,0.241387,-0.0113680531,-0.0015486604,0.0045314707
0.042769,-0.207192,-9.794812,0.236583,-0.0113680531,-0.0004844353,0.0045314707
0.043787,-0.216799,-9.797206,0.226976,-0.0113680531,-0.0004844353,0.0045314707
0.044837,-0.219201,-9.794812,0.217369,-0.0124322782,-0.0004844353,0.0045314707
0.045885,-0.219201,-9.794812,0.217369,-0.0124322782,-0.0026128856,0.0055956959
0.046935,-0.214397,-9.797206,0.226976,-0.0124322782,-0.0036771108,0.0055956959
0.047954,-0.207192,-9.794812,0.23178,-0.0134965034,-0.0036771108,0.0045314707
0.049002,-0.20479,-9.790023,0.229378,-0.0134965034,-0.0026128856,0.0034672456
0.050052,-0.211995,-9.780446,0.222173,-0.0145607286,-0.0015486604,0.0034672456
0.051101,-0.207192,-9.773263,0.219771,-0.0156249537,-0.0026128856,0.0045314707
0.052118,-0.211995,-9.780446,0.222173,-0.0145607286,-0.0036771108,0.0045314707
0.053168,-0.216799,-9.785234,0.222173,-0.0145607286,-0.0026128856,0.0055956959
0.054217,-0.20479,-9.785234,0.222173,-0.0166891789,-0.0015486604,0.0045314707
0.055267,-0.199987,-9.792417,0.219771,-0.0166891789,-0.0015486604,0.0055956959
0.056318,-0.199987,-9.787629,0.210164,-0.0156249537,-0.0026128856,0.0055956959
0.057334,-0.199987,-9.770868,0.210164,-0.0166891789,-0.0026128856,0.0045314707
0.058383,-0.20479,-9.773263,0.226976,-0.0156249537,-0.0026128856,0.0024030204
0.059433,-0.197585,-9.770868,0.222173,-0.0166891789,-0.0015486604,0.0045314707
0.060482,-0.195183,-9.768474,0.234181,-0.017753404,-0.0015486604,0.0045314707
0.0615,-0.199987,-9.766079,0.238985,-0.017753404,-0.0015486604,0.0034672456
0.062549,-0.195183,-9.763685,0.226976,-0.017753404,-0.0015486604,0.0034672456
0.063599,-0.195183,-9.766079,0.222173,-0.0188176292,-0.0015486604,0.0045314707
0.064648,-0.202388,-9.768474,0.226976,-0.0188176292,-0.0004844353,0.0045314707
0.065666,-0.20479,-9.768474,0.222173,-0.0188176292,-0.0015486604,0.0045314707
0.066715,-0.199987,-9.763685,0.219771,-0.017753404,-0.0036771108,0.0045314707
0.067764,-0.195183,-9.770868,0.224574,-0.0166891789,-0.0036771108,0.0055956959
0.068814,-0.202388,-9.778051,0.229378,-0.017753404,-0.0026128856,0.0045314707
0.069863,-0.207192,-9.761291,0.224574,-0.0188176292,-0.0015486604,0.0034672456
0.070881,-0.207192,-9.756502,0.219771,-0.0188176292,-0.0015486604,0.0045314707
0.07193,-0.207192,-9.763685,0.219771,-0.0198818543,-0.0026128856,0.0045314707
0.07298,-0.202388,-9.763685,0.222173,-0.0209460795,-0.0026128856,0.0034672456
0.074029,-0.207192,-9.754108,0.222173,-0.0209460795,-0.0026128856,0.0024030204
0.075047,-0.214397,-9.758896,0.229378,-0.0198818543,-0.0026128856,0.0034672456
0.076096,-0.211995,-9.768474,0.234181,-0.0198818543,-0.0026128856,0.0045314707
0.077145,-0.209594,-9.761291,0.234181,-0.0209460795,-0.0015486604,0.0045314707
0.078197,-0.20479,-9.766079,0.23178,-0.0209460795,-0.0015486604,0.0034672456
0.079213,-0.207192,-9.780446,0.234181,-0.0220103046,-0.0015486604,0.0034672456
0.080262,-0.211995,-9.78284,0.229378,-0.0220103046,-0.0026128856,0.0045314707
0.081311,-0.209594,-9.773263,0.226976,-0.0209460795,-0.0026128856,0.0045314707
0.082361,-0.202388,-9.773263,0.229378,-0.0209460795,-0.0015486604,0.0045314707
0.08341,0.035386,-9.766079,0.23178,-0.0230745298,0.001644015,0.0045314707
0.084428,0.169885,-9.806783,0.198155,-0.0241387549,0.0080293659,0.0109168216
0.085478,0.205911,-9.703826,0.128504,-0.0252029801,0.0218642929,0.0183663977
0.086527,0.225125,-9.421293,-0.010798,-0.0252029801,0.0420845709,0.0215590732
0.088594,-0.132737,-9.734953,-0.21735,-0.0209460795,0.0899747028,0.0194306229
0.087579,0.191501,-9.241717,-0.123681,-0.0230745298,0.0676259745,0.020494848
0.089643,-0.536233,-10.228189,-0.311019,-0.017753404,0.1080665304,0.0183663977
0.090695,-0.891694,-9.816361,-0.35425,-0.0081753776,0.112323431,0.0151737222
0.091742,-1.103049,-9.691855,-0.359054,0.0067237745,0.0921031531,0.0109168216
0.09276,-0.70916,-9.749319,-0.090056,0.0173660261,0.0686901997,0.0087883713
0.093809,-0.192781,-8.46116,0.135709,0.0205587015,0.0559194979,0.0109168216
0.094859,-0.183174,-8.104402,0.349466,0.0120449003,0.0314423193,0.0151737222
0.095908,-0.139943,-10.244949,0.87305,-0.0028542519,0.0059009156,0.0215590732
0.096957,0.09543,-10.66396,0.779381,-0.0198818543,0.0208000678,0.0236875235
0.097975,-0.293655,-10.027063,0.181343,-0.0379736819,0.0505983721,0.0109168216
0.099024,-0.65392,-12.545918,-0.142895,-0.0507443838,0.0750755506,-0.0082392311
0.100076,-0.10872,-13.125351,-0.150101,-0.0369094568,0.1378648347,-0.0135603569
0.101123,0.0546,-9.160309,0.066058,0.0003384236,0.2027825691,-0.0093034563
0.102141,-0.195183,-7.965529,0.015621,0.0131091254,0.1963972181,-0.0039823305
0.10319,0.304383,-10.051007,0.212566,0.0077879997,0.1740484899,0.0130452719
0.104239,0.698272,-8.612003,0.599249,0.0088522248,0.1729842648,0.0311370995
0.105289,0.030582,-5.997375,0.229378,0.0024668739,0.1410575101,0.0311370995
0.106307,-1.136674,-9.555377,0.601651,-0.0071111525,0.0750755506,0.0322013247
0.107356,-1.516152,-14.308159,1.17327,-0.0017900267,0.0239927432,0.0492289272
0.108405,-0.61309,-12.260991,-0.529579,-0.0081753776,0.0165431672,0.0439078014
0.109455,-0.187978,-9.275238,0.481563,-0.0709646617,0.1144518813,-0.0231383833
0.110472,0.181894,-10.194668,1.074798,-0.059258185,0.1900118672,-0.007175006
0.111522,0.54456,-8.573694,0.630472,-0.0347810065,0.2549296016,0.0098525965
0.112574,0.184295,-7.915248,0.769774,-0.0241387549,0.2591865022,0.0109168216
0.113621,-0.291254,-10.556215,1.226109,-0.0060469273,0.2112963703,0.0109168216
0.11467,-0.697151,-12.086203,1.041173,0.0173660261,0.153828212,0.0162379474
