Time (s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
0.000122,-0.209594,-9.794812,0.243788,-0.0049827022,-0.0164478126,-0.0061107808
0.001081,-0.209594,-9.794812,0.236583,-0.0049827022,-0.0175120377,-0.0061107808
0.003147,-0.214397,-9.801995,0.219771,-0.003918477,-0.0185762629,-0.0061107808
0.002098,-0.207192,-9.7996,0.224574,-0.0049827022,-0.0185762629,-0.0061107808
0.004198,-0.219201,-9.794812,0.219771,-0.0049827022,-0.0185762629,-0.0061107808
0.005246,-0.211995,-9.792417,0.219771,-0.0049827022,-0.0185762629,-0.0050465557
0.006264,-0.202388,-9.785234,0.222173,-0.0049827022,-0.0185762629,-0.0050465557
0.008363,-0.209594,-9.778051,0.229378,-0.0060469273,-0.0175120377,-0.0061107808
0.009412,-0.214397,-9.78284,0.229378,-0.0049827022,-0.0196404881,-0.0050465557
0.007316,-0.202388,-9.775657,0.222173,-0.0049827022,-0.0185762629,-0.0050465557
0.01148,-0.211995,-9.785234,0.222173,-0.0071111525,-0.0185762629,-0.0050465557
0.010462,-0.214397,-9.78284,0.219771,-0.0060469273,-0.0196404881,-0.0039823305
0.012529,-0.202388,-9.797206,0.222173,-0.0071111525,-0.0175120377,-0.0061107808
0.013579,-0.195183,-9.797206,0.212566,-0.0060469273,-0.0164478126,-0.0050465557
0.014629,-0.209594,-9.785234,0.207762,-0.0060469273,-0.0175120377,-0.0039823305
0.015646,-0.221603,-9.778051,0.219771,-0.0071111525,-0.0185762629,-0.0050465557
0.016695,-0.219201,-9.778051,0.229378,-0.0081753776,-0.0185762629,-0.0050465557
0.017745,-0.224004,-9.780446,0.222173,-0.0081753776,-0.0175120377,-0.0061107808
0.018795,-0.228808,-9.7996,0.219771,-0.0081753776,-0.0185762629,-0.0061107808
0.019815,-0.224004,-9.804389,0.229378,-0.0092396028,-0.0164478126,-0.0050465557
0.020862,-0.216799,-9.787629,0.238985,-0.0092396028,-0.0164478126,-0.0050465557
0.021911,-0.216799,-9.778051,0.238985,-0.0081753776,-0.0175120377,-0.0039823305
0.022961,-0.216799,-9.778051,0.23178,-0.0081753776,-0.0185762629,-0.0039823305
0.02401,-0.219201,-9.785234,0.226976,-0.0081753776,-0.0164478126,-0.0050465557
0.025028,-0.226406,-9.787629,0.224574,-0.0081753776,-0.0164478126,-0.0050465557
0.026077,-0.219201,-9.778051,0.226976,-0.0081753776,-0.0175120377,-0.0061107808
0.027127,-0.207192,-9.778051,0.234181,-0.0081753776,-0.0196404881,-0.0050465557
0.028176,-0.216799,-9.790023,0.229378,-0.0092396028,-0.0196404881,-0.0039823305
0.029196,-0.221603,-9.790023,0.222173,-0.0081753776,-0.0185762629,-0.0039823305
0.030243,-0.216799,-9.787629,0.229378,-0.0081753776,-0.0185762629,-0.0039823305
0.031293,-0.219201,-9.792417,0.236583,-0.0092396028,-0.0175120377,-0.0050465557
0.032343,-0.228808,-9.794812,0.229378,-0.0103038279,-0.0164478126,-0.0039823305
0.03336,-0.221603,-9.797206,0.226976,-0.0103038279,-0.0153835874,-0.0039823305
0.034409,-0.192781,-9.7996,0.229378,-0.0092396028,-0.0164478126,-0.0039823305
0.035459,-0.192781,-9.794812,0.224574,-0.0092396028,-0.0175120377,-0.0050465557
0.036508,-0.209594,-9.785234,0.219771,-0.0092396028,-0.0175120377,-0.0050465557
0.03756,-0.202388,-9.78284,0.222173,-0.0081753776,-0.0175120377,-0.0039823305
0.038576,-0.202388,-9.785234,0.229378,-0.0103038279,-0.0153835874,-0.0029181054
0.039625,-0.211995,-9.792417,0.229378,-0.0103038279,-0.0143193623,-0.0050465557
0.041724,-0.219201,-9.785234,0.224574,-0.0103038279,-0.0175120377,-0.0050465557
0.042742,-0.219201,-9.778051,0.222173,-0.0113680531,-0.0153835874,-0.0039823305
0.043791,-0.211995,-9.801995,0.23178,-0.0113680531,-0.0175120377,-0.0050465557
0.044841,-0.20479,-9.7996,0.229378,-0.0113680531,-0.0175120377,-0.0039823305
0.045891,-0.20479,-9.790023,0.23178,-0.0103038279,-0.0164478126,-0.0039823305
0.040675,-0.214397,-9.797206,0.226976,-0.0103038279,-0.0164478126,-0.0061107808
0.046908,-0.211995,-9.785234,0.234181,-0.0103038279,-0.0153835874,-0.0039823305
0.047958,-0.211995,-9.778051,0.229378,-0.0103038279,-0.0153835874,-0.0029181054
0.049007,-0.197585,-9.773263,0.219771,-0.0103038279,-0.0175120377,-0.0029181054
0.050057,-0.197585,-9.778051,0.226976,-0.0113680531,-0.0175120377,-0.0029181054
0.051074,-0.211995,-9.792417,0.224574,-0.0124322782,-0.0153835874,-0.0029181054
0.052124,-0.211995,-9.801995,0.212566,-0.0113680531,-0.0164478126,-0.0029181054
0.053174,-0.211995,-9.797206,0.210164,-0.0113680531,-0.0175120377,-0.0029181054
0.054223,-0.207192,-9.785234,0.219771,-0.0124322782,-0.0164478126,-0.0029181054
0.055272,-0.202388,-9.778051,0.229378,-0.0134965034,-0.0153835874,-0.0039823305
0.057339,-0.216799,-9.78284,0.222173,-0.0134965034,-0.0175120377,-0.0029181054
0.05629,-0.20479,-9.780446,0.224574,-0.0134965034,-0.0164478126,-0.0039823305
0.058389,-0.224004,-9.778051,0.234181,-0.0124322782,-0.0164478126,-0.0018538802
0.059441,-0.221603,-9.780446,0.241387,-0.0124322782,-0.0164478126,-0.0018538802
0.060456,-0.214397,-9.787629,0.23178,-0.0134965034,-0.0153835874,-0.0018538802
0.061506,-0.209594,-9.7996,0.222173,-0.0124322782,-0.0153835874,-0.0018538802
0.064622,-0.219201,-9.794812,0.202958,-0.0134965034,-0.0164478126,-0.0018538802
0.062555,-0.214397,-9.813966,0.219771,-0.0134965034,-0.0153835874,-0.0018538802
0.065672,-0.219201,-9.785234,0.210164,-0.0134965034,-0.0153835874,-0.0018538802
0.066721,-0.211995,-9.78284,0.212566,-0.0134965034,-0.0143193623,-0.0018538802
0.063605,-0.219201,-9.811572,0.212566,-0.0145607286,-0.0164478126,-0.0018538802
0.067771,-0.209594,-9.78284,0.212566,-0.0134965034,-0.0153835874,-0.0018538802
0.068821,-0.219201,-9.773263,0.224574,-0.0134965034,-0.0153835874,-0.0018538802
0.069838,-0.211995,-9.787629,0.222173,-0.0134965034,-0.0143193623,-0.0029181054
0.070887,-0.216799,-9.797206,0.219771,-0.0134965034,-0.0153835874,-0.0018538802
0.071939,-0.219201,-9.794812,0.207762,-0.0145607286,-0.0164478126,-0.0018538802
0.072986,-0.228808,-9.85467,0.210164,-0.0156249537,-0.0153835874,-0.0018538802
0.074004,-0.214397,-9.988754,0.306234,-0.0145607286,-0.0164478126,-0.0018538802
0.075053,-0.137541,-9.852276,0.344662,-0.0124322782,-0.0164478126,0.0002745701
0.076103,0.023377,-9.555377,0.24619,-0.0145607286,-0.0132551371,0.0013387952
0.077152,0.167483,-9.624813,0.188548,-0.0156249537,0.001644015,0.0055956959
0.07817,0.287571,-8.992705,-0.025209,-0.0188176292,0.029313869,0.0119810468
0.079219,0.362026,-7.864967,-0.375866,-0.0273314304,0.0601763985,0.0162379474
0.080269,-0.036667,-9.35904,-0.428705,-0.0252029801,0.0750755506,0.0173021725
0.08132,-0.605884,-11.734234,-0.625649,-0.0081753776,0.0835893518,0.0173021725
0.082368,-0.896498,-10.695087,-1.252509,0.0163018009,0.0974242788,0.0109168216
0.083385,-1.256762,-9.840304,-1.473471,0.0365220788,0.1016811795,-0.0018538802
0.084437,-1.45851,-12.081415,-0.832201,0.0546139064,0.0952958285,-0.007175006
0.085484,-1.15829,-12.086203,-0.267787,0.0684488334,0.0803966764,-0.007175006
0.086534,-0.548242,-8.085247,-0.507963,0.0535496813,0.0484699218,-0.0188814827
0.088601,0.13626,-9.076507,1.384625,0.0290725027,-0.0036771108,0.0013387952
0.087551,-0.029462,-6.313429,-0.102065,0.0258798273,0.0197358426,-0.021009933
0.0907,0.919234,-9.615236,0.018023,0.0301367279,-0.0441176666,0.0279444241
0.093818,0.410061,-10.563398,-0.010798,-0.0571297347,-0.0026128856,-0.007175006
0.091717,0.671853,-9.928895,-0.222153,-0.0028542519,-0.0419892163,0.006659921
0.08965,0.470105,-10.675932,1.367813,0.0439716549,-0.0324111899,0.0279444241
0.094866,-0.175969,-8.521018,0.676106,-0.0017900267,0.0516625972,0.0162379474
0.095915,-0.27204,-9.471575,0.459947,0.0365220788,0.0325065445,0.0226232983
0.096935,-0.57226,-11.205083,0.743355,0.0748341844,0.0059009156,0.0258159738
0.097982,-0.605884,-10.323963,0.930692,0.0876048862,-0.0185762629,0.020494848
0.099032,-0.363307,-8.075669,0.688114,0.0663203831,-0.0313469647,0.0098525965
0.100081,-0.305664,-8.489892,1.074798,0.0343936285,-0.0207047132,0.0013387952
0.092767,0.328401,-11.090154,-0.058834,-0.0411663574,-0.0345396402,-0.0082392311
0.101099,-0.154353,-9.790023,1.269341,-0.0007258016,0.015478942,0.0002745701
0.102149,-0.096711,-9.557771,1.060388,-0.0369094568,0.0559194979,0.0013387952
0.103198,-0.360905,-10.115654,1.146851,-0.0486159335,0.0686901997,0.0024030204
0.104247,-0.348896,-10.776495,0.644883,-0.0475517083,0.0505983721,-0.0018538802
0.105265,-0.199987,-9.921712,0.06846,-0.0443590329,0.0325065445,-0.0061107808
0.106317,-0.375315,-10.173119,0.238985,-0.0294598807,0.0165431672,-0.0061107808
0.107364,-0.401735,-11.039873,0.142914,-0.0188176292,-0.0026128856,-0.0029181054
0.108413,-0.202388,-10.055796,-0.0132,-0.0188176292,-0.012190912,0.0055956959
0.109431,-0.118327,-8.954395,0.459947,-0.0209460795,-0.0164478126,0.0109168216
0.110481,-0.022256,-9.153126,0.803399,-0.0273314304,-0.0217689384,0.0077241462
0.11153,-0.017453,-9.315942,0.837024,-0.0358452316,-0.0143193623,0.006659921
0.113629,-0.754794,-9.610447,0.459947,-0.0369094568,0.0346349948,0.0002745701
0.11258,-0.291254,-9.131577,0.767373,-0.0379736819,0.0101578162,0.0055956959
0.114647,-1.203923,-10.589735,-0.056432,-0.0401021322,0.0505983721,-0.007175006
0.115696,-1.372047,-10.778889,-0.373464,-0.0432948077,0.0591121733,-0.0146245821
0.116746,-1.328815,-10.505933,-0.351849,-0.0443590329,0.0633690739,-0.021009933
0.117795,-0.982961,-10.486778,-0.246171,-0.0432948077,0.0654975242,-0.0242026084
0.118815,-0.279245,-9.813966,0.063656,-0.0358452316,0.0782682261,-0.0231383833
0.119862,0.225125,-9.02862,0.188548,-0.0241387549,0.0952958285,-0.0178172575
0.120912,0.443686,-9.260872,0.359073,-0.0081753776,0.1101949807,-0.0018538802
0.121961,0.29958,-9.505095,0.056451,-0.0071111525,0.1112592058,-0.0018538802
0.122979,0.191501,-9.526645,-0.051628,-0.0166891789,0.1165803316,-0.0050465557
0.124028,-0.058283,-9.160309,-0.070842,-0.0283956555,0.1208372322,-0.0061107808
0.125078,-0.363307,-9.928895,-0.082851,-0.0379736819,0.1091307555,-0.0039823305
0.126127,-0.233611,-10.290442,0.183744,-0.0464874832,0.0963600537,-0.0007896551
0.127177,-0.399333,-10.0965,0.258199,-0.0390379071,0.0889104776,-0.0029181054
0.128196,-0.752392,-11.042267,0.469554,-0.0294598807,0.0676259745,-0.007175006
0.129243,-0.456975,-10.369455,0.712132,-0.0262672052,0.0442130212,-0.0114319066
